Subject	Effect	Block	WaitTime	markerTarget
2	color_yellow.png	3	300	2
2	color_purple.png	3	450	3
2	color_red.png	3	450	3
2	color_green.png	3	450	3
2	color_purple.png	3	300	2
2	color_yellow.png	3	450	2
2	color_green.png	3	450	2
2	color_red.png	3	450	3
2	color_blue.png	3	150	2
2	color_purple.png	3	450	3
2	color_red.png	3	300	2
2	color_purple.png	3	450	2
2	color_blue.png	3	450	2
2	color_green.png	3	150	2
2	color_yellow.png	3	450	2
2	color_green.png	3	300	2
2	color_yellow.png	3	450	2
2	color_blue.png	3	150	2
2	color_yellow.png	3	300	2
2	color_purple.png	3	150	3
2	color_purple.png	3	150	2
2	color_purple.png	3	450	2
2	color_orange.png	3	300	2
2	color_yellow.png	3	150	2
2	color_red.png	3	450	2
2	color_yellow.png	3	300	3
2	color_red.png	3	450	2
2	color_red.png	3	150	2
2	color_blue.png	3	300	2
2	color_orange.png	3	150	2
2	color_yellow.png	3	450	3
2		3	450	2
2	color_orange.png	3	450	3
2	color_purple.png	3	150	2
2	color_green.png	3	300	2
2	color_blue.png	3	300	2
2	color_red.png	3	450	2
2	color_purple.png	3	300	2
2	color_red.png	3	300	2
2	color_orange.png	3	450	2
2	color_orange.png	3	300	2
2	color_blue.png	3	450	2
2	color_orange.png	3	450	3
2	color_blue.png	3	450	2
2	color_yellow.png	3	300	2
2	color_red.png	3	150	3
2	color_blue.png	3	450	2
2	color_red.png	3	150	3
2	color_orange.png	3	450	2
2	color_orange.png	3	450	2
2	color_green.png	3	150	2
2	color_red.png	3	450	2
2	color_purple.png	3	300	3
2	color_red.png	3	150	2
2	color_green.png	3	450	3
2	color_yellow.png	3	150	2
2	color_purple.png	3	300	3
2		3	300	2
2	color_green.png	3	450	2
2		3	300	2
2	color_purple.png	3	450	2
2	color_purple.png	3	300	2
2	color_blue.png	3	450	2
2	color_yellow.png	3	450	2
2	color_orange.png	3	150	3
2	color_purple.png	3	300	3
2	color_red.png	3	300	2
2	color_green.png	3	150	2
2	color_green.png	3	300	2
2	color_orange.png	3	450	3
2	color_green.png	3	300	2
2	color_orange.png	3	300	2
2	color_yellow.png	4	300	2
2	color_purple.png	4	450	2
2		4	150	2
2	color_blue.png	4	450	2
2	color_red.png	4	150	2
2	color_orange.png	4	300	3
2	color_blue.png	4	150	2
2	color_purple.png	4	300	3
2	color_green.png	4	450	2
2	color_yellow.png	4	300	2
2	color_purple.png	4	450	3
2	color_green.png	4	150	3
2	color_purple.png	4	150	2
2		4	450	2
2	color_green.png	4	450	2
2	color_blue.png	4	300	2
2	color_yellow.png	4	300	2
2	color_green.png	4	300	2
2	color_red.png	4	450	2
2	color_orange.png	4	300	2
2	color_orange.png	4	450	2
2	color_blue.png	4	300	3
2	color_purple.png	4	150	3
2	color_blue.png	4	450	2
2	color_orange.png	4	300	3
2	color_yellow.png	4	150	2
2	color_yellow.png	4	450	2
2	color_orange.png	4	450	2
2	color_yellow.png	4	450	3
2	color_yellow.png	4	450	2
2	color_blue.png	4	150	2
2	color_green.png	4	150	2
2	color_red.png	4	150	2
2	color_red.png	4	150	2
2	color_purple.png	4	150	2
2	color_blue.png	4	300	3
2	color_yellow.png	4	450	2
2	color_orange.png	4	150	2
2	color_red.png	4	150	3
2	color_blue.png	4	300	3
2	color_orange.png	4	450	2
2	color_yellow.png	4	150	2
2	color_red.png	4	450	2
2	color_red.png	4	450	2
2	color_purple.png	4	450	2
2	color_blue.png	4	450	2
2	color_orange.png	4	300	2
2	color_green.png	4	150	2
2	color_purple.png	4	450	2
2		4	450	2
2	color_purple.png	4	450	2
2	color_yellow.png	4	300	3
2	color_blue.png	4	150	2
2	color_red.png	4	300	2
2	color_orange.png	4	300	2
2	color_orange.png	4	150	2
2	color_green.png	4	450	2
2	color_green.png	4	150	3
2	color_green.png	4	300	2
2	color_purple.png	4	150	2
2	color_orange.png	4	300	2
2	color_blue.png	4	150	2
2	color_yellow.png	4	150	2
2	color_red.png	4	150	3
2	color_green.png	4	300	2
2	color_red.png	4	450	2
2	color_purple.png	4	300	2
2	color_orange.png	4	150	3
2	color_blue.png	4	450	2
2	color_yellow.png	4	150	3
2	color_red.png	4	450	3
2	color_green.png	4	300	3
2	color_green.png	5	300	2
2	color_red.png	5	450	3
2	color_green.png	5	150	3
2	color_orange.png	5	300	2
2	color_green.png	5	450	3
2	color_red.png	5	150	2
2	color_green.png	5	450	3
2	color_yellow.png	5	150	3
2	color_red.png	5	300	2
2	color_red.png	5	300	3
2	color_purple.png	5	450	3
2	color_orange.png	5	150	3
2	color_yellow.png	5	450	3
2	color_orange.png	5	300	3
2	color_purple.png	5	450	2
2	color_orange.png	5	300	2
2	color_blue.png	5	150	2
2	color_yellow.png	5	450	3
2	color_red.png	5	300	3
2	color_purple.png	5	150	3
2	color_red.png	5	150	3
2	color_yellow.png	5	300	3
2	color_red.png	5	150	3
2	color_red.png	5	300	3
2	color_green.png	5	150	3
2	color_red.png	5	300	3
2	color_purple.png	5	300	3
2		5	300	2
2	color_red.png	5	150	3
2	color_green.png	5	150	2
2	color_orange.png	5	300	3
2	color_yellow.png	5	150	2
2	color_yellow.png	5	450	3
2	color_blue.png	5	150	3
2	color_purple.png	5	450	3
2	color_blue.png	5	150	2
2	color_green.png	5	150	3
2	color_green.png	5	150	2
2	color_blue.png	5	450	3
2	color_purple.png	5	300	2
2	color_blue.png	5	300	3
2	color_blue.png	5	450	2
2	color_purple.png	5	300	3
2	color_blue.png	5	450	3
2	color_purple.png	5	450	3
2	color_orange.png	5	450	3
2	color_purple.png	5	450	3
2	color_blue.png	5	300	3
2	color_green.png	5	300	3
2	color_blue.png	5	150	3
2	color_orange.png	5	300	3
2	color_orange.png	5	150	3
2	color_orange.png	5	150	3
2	color_green.png	5	450	3
2	color_blue.png	5	450	3
2	color_red.png	5	450	2
2	color_yellow.png	5	300	3
2	color_blue.png	5	450	3
2	color_yellow.png	5	450	2
2	color_purple.png	5	150	3
2	color_orange.png	5	450	3
2	color_green.png	5	150	3
2	color_orange.png	5	300	3
2	color_green.png	5	150	3
2	color_purple.png	5	300	2
2	color_green.png	5	450	3
2	color_orange.png	5	450	3
2	color_yellow.png	5	450	3
2	color_orange.png	5	150	2
2	color_yellow.png	5	450	3
2	color_blue.png	5	300	3
2	color_purple.png	5	450	3
