	Eprime.Level	Eprime.LevelName	Eprime.Basename	Eprime.FrameNumber	Procedure	Running	VersionPersist	LevelName	Experiment	SessionDate	SessionTime	SessionStartDateTimeUtc	RuntimeVersion	ResearcherID	Subject	Session	Group	Name	Age	Sex	Recznosc	DataFile.Basename	RandomSeed	Display.RefreshRate	proszenie	planowanie	zrozumienie	wykonanie	WordList	kobieta_S1	mezczyzna_S1	kobieta_S2	mezczyzna_S2	kobieta_S3	mezczyzna_S3	kobieta_S4	mezczyzna_S4	Cycle	Block	Sample	Instructions3.RESP	Instructions4.RESP	Instructions5.RESP	TargetTraining	TrCorrectResp	TrWaitTime	TrPosit	Prime	Target	Resp	Effect	ChoiceType	CorrectRespon	TrialType	WaitTime	Posit	Prime.OnsetDelay	Prime.OnsetTime	Prime.DurationError	Prime.PreRelease	Prime.Duration	Prime.StartTime	Prime.OffsetTime	Prime.FinishTime	Prime.TimingMode	Prime.CustomOnsetTime	Prime.CustomOffsetTime	Prime.ActionDelay	Prime.ActionTime	Prime.TargetOffsetTime	Prime.TargetOnsetTime	Prime.PendingInputMasks	Prime.OffsetDelay	Prime.OnsetToOnsetTime	TargetSlide.OnsetDelay	TargetSlide.OnsetTime	TargetSlide.DurationError	TargetSlide.RTTime	TargetSlide.ACC	TargetSlide.RT	TargetSlide.RESP	TargetSlide.CRESP	TargetSlide.OnsetToOnsetTime	RespWin.OnsetDelay	RespWin.OnsetTime	RespWin.DurationError	RespWin.RTTime	RespWin.ACC	RespWin.RT	RespWin.RESP	RespWin.CRESP	RespWin.OnsetToOnsetTime	Fixation2.OnsetDelay	Fixation2.OnsetTime	Fixation2.DurationError	Fixation2.OnsetToOnsetTime	NeutralPrimeList1	PrimeChoice	kol1	kol2	kol3	kol4	kol5	kol6	ErrorText	OverallRT	GoalRespInd1	GoalRespName1	GoalRespInd2	GoalRespName2	GoalRespInd3	GoalRespName3	GoalRespInd4	GoalRespName4	GoalRespInd5	GoalRespName5	GoalRespInd6	GoalRespName6	TBox1	TBox2	TBox3	TBox4	TBox5	TBox6	PracticeMode	BlockNumber	NextBlock0.RESP	NextBlock.RESP	StudioVersion	ExperimentVersion
1	1	Header_	1 ver1_main_procedure-3-1	1	Header	Header	1	LogLevel10	1 ver1_main_procedure	08/07/2015	16:19:16	07/08/2015 14:19	2.0.10.182	1	3	1	1	tg	21	mezczyzna	prawa	1 ver1_main_procedure-3-1	-1609811240	99.939																																																																																																										
2	2	InstrList_1	1 ver1_main_procedure-3-1	2	InstrProc	InstrList																			poproszony	planowal	zrozumiales	wykonal	1	poproszona	poproszony	planowala	planowal	zrozumialas	zrozumiales	wykonala	wykonal	1		1	{SPACE}	{SPACE}	l																																																																																							
3	3	TrainingList1_2	1 ver1_main_procedure-3-1	3	TrainProc	TrainingList1																																1	1	1				target_right.png	l	300	25																																																																																			
4	3	TrainingList1_1	1 ver1_main_procedure-3-1	4	TrainProc	TrainingList1																																1	1	2				target_left.png	d	150	25																																																																																			
5	3	TrainingList1_3	1 ver1_main_procedure-3-1	5	TrainProc	TrainingList1																																1	1	3				target_both.png	dl	450	25																																																																																			
6	3	TrainingList1_2	1 ver1_main_procedure-3-1	6	TrainProc	TrainingList1																																1	1	4				target_right.png	l	450	25																																																																																			
7	3	TrainingList1_3	1 ver1_main_procedure-3-1	7	TrainProc	TrainingList1																																1	1	5				target_both.png	dl	150	75																																																																																			
8	3	TrainingList1_3	1 ver1_main_procedure-3-1	8	TrainProc	TrainingList1																																1	1	6				target_both.png	dl	150	25																																																																																			
9	3	TrainingList1_2	1 ver1_main_procedure-3-1	9	TrainProc	TrainingList1																																1	1	7				target_right.png	l	450	25																																																																																			
10	3	TrainingList1_1	1 ver1_main_procedure-3-1	10	TrainProc	TrainingList1																																1	1	8				target_left.png	d	450	25																																																																																			
11	3	TrainingList1_1	1 ver1_main_procedure-3-1	11	TrainProc	TrainingList1																																1	1	9				target_left.png	d	150	75																																																																																			
12	2	TrainingList_1	1 ver1_main_procedure-3-1	12	TrainingProc1	TrainingList																																1	1	1																																																																																										
