,cond,choiceType,prime,target,effect,corrResp,resp,pos,block,fixTime,ifcorr,RT,soa_rating,rating_RT,ITI,saveTime
1,comp,Free,prime_right.png,target_both.png,,l,d,5.0,2,138,False,0.117338195033,0,0.0,54.0,0.00951586715144
2,incomp,Cued,prime_right.png,target_left.png,,l,d,-5.0,2,112,False,0.05730287098,0,0.0,28.0,0.009674383017
3,incomp,Cued,prime_right.png,target_left.png,,l,l,-5.0,2,108,True,0.325396617345,0,0.0,33.0,0.0201053004101
4,incomp,Free,prime_left.png,target_both.png,,d,d,-5.0,2,105,True,0.0854355458928,0,0.0,56.0,0.0090251642913
5,comp,Cued,,target_left.png,,space,space,5.0,2,119,True,0.75924880683,0,0.0,69.0,0.00873107025654
6,comp,Free,prime_left.png,target_both.png,,d,d,-5.0,2,114,True,0.134578331414,0,0.0,47.0,0.00882527865201
7,comp,Cued,prime_right.png,target_right.png,,l,l,5.0,2,134,True,0.0963432396875,0,0.0,50.0,0.0088695156378
8,incomp,Cued,prime_left.png,target_right.png,,d,d,-5.0,2,145,True,0.0860769821857,0,0.0,38.0,0.00927829815407
9,incomp,Free,prime_right.png,target_both.png,,l,d,-5.0,2,127,False,0.0239301612683,0,0.0,73.0,0.00888549010483
10,incomp,Free,prime_left.png,target_both.png,,d,d,5.0,2,135,True,0.43960545524,0,0.0,52.0,0.00882200183833
11,comp,Cued,,target_right.png,,space,space,-5.0,2,139,True,0.583095081667,0,0.0,69.0,0.00873434707023
12,incomp,Free,prime_left.png,target_both.png,,d,d,-5.0,2,116,True,0.102553211359,0,0.0,37.0,0.00884575873795
13,incomp,Free,,target_both.png,,space,space,-5.0,2,107,True,0.586493547135,0,0.0,31.0,0.00877694564906
14,incomp,Cued,prime_left.png,target_right.png,,d,d,5.0,2,107,True,0.0803474733307,0,0.0,24.0,0.00906530525981
15,incomp,Free,prime_left.png,target_both.png,,d,d,5.0,2,103,True,0.184514515466,0,0.0,31.0,0.00879578732815
16,comp,Free,prime_left.png,target_both.png,,d,d,-5.0,2,131,True,0.141853267557,0,0.0,67.0,0.00881299060052
17,comp,Cued,prime_left.png,target_left.png,,d,d,-5.0,2,126,True,0.245562784571,0,0.0,32.0,0.00881831542279
18,comp,Cued,prime_right.png,target_right.png,,l,d,-5.0,2,119,False,0.17345895545,0,0.0,32.0,0.00919473940314
19,incomp,Cued,prime_left.png,target_right.png,,d,d,-5.0,2,100,True,0.121561188762,0,0.0,27.0,0.00881380980388
20,comp,Free,prime_left.png,target_both.png,,d,d,5.0,2,122,True,0.0201843535419,0,0.0,57.0,0.00878800489556
21,incomp,Free,prime_left.png,target_both.png,,d,d,5.0,2,140,True,0.197352662165,0,0.0,59.0,0.00892235425954
22,incomp,Free,,target_both.png,,space,space,5.0,2,136,True,0.464954886467,0,0.0,58.0,0.00962973642947
23,incomp,Free,,target_both.png,,space,space,5.0,2,133,True,0.300333088119,0,0.0,25.0,0.00961540036928
24,comp,Free,prime_right.png,target_both.png,,l,d,-5.0,2,130,False,0.160228410303,0,0.0,38.0,0.00891989664922
25,incomp,Cued,,target_left.png,,space,space,-5.0,2,111,True,0.0542529765758,0,0.0,55.0,0.00897273527107
26,comp,Free,,target_both.png,,space,space,5.0,2,139,True,0.359957581646,0,0.0,72.0,0.00886787723084
27,comp,Cued,prime_left.png,target_left.png,,d,l,5.0,2,132,False,0.197400585566,0,0.0,25.0,0.00889368213916
28,comp,Free,prime_left.png,target_both.png,,d,d,5.0,2,138,True,0.0873446995079,0,0.0,66.0,0.00897478327965
29,incomp,Cued,prime_right.png,target_left.png,,l,l,5.0,2,146,True,0.124901490786,0,0.0,51.0,0.00888139408767
30,incomp,Cued,prime_left.png,target_right.png,,d,d,5.0,2,119,True,0.126803271571,0,0.0,24.0,0.00900386500189
31,comp,Free,,target_both.png,,space,space,-5.0,2,144,True,0.321977671791,0,0.0,71.0,0.00905096919962
32,incomp,Cued,prime_left.png,target_right.png,,d,d,-5.0,2,119,True,0.01072787864,0,0.0,69.0,0.00897683128835
33,incomp,Cued,prime_left.png,target_right.png,,d,d,5.0,2,142,True,0.107237826227,0,0.0,33.0,0.0182551294424
34,incomp,Cued,,target_right.png,,space,space,5.0,2,112,True,0.34723002741,0,0.0,27.0,0.0088928629358
35,comp,Cued,,target_left.png,,space,space,-5.0,2,113,True,0.327243511499,0,0.0,30.0,0.0090186106637
36,incomp,Free,prime_right.png,target_both.png,,l,d,5.0,2,114,False,0.0531933369266,0,0.0,43.0,0.00907022048045
37,comp,Cued,prime_right.png,target_right.png,,l,d,5.0,2,122,False,0.17511907122,0,0.0,55.0,0.00910585583006
38,comp,Free,prime_right.png,target_both.png,,l,l,5.0,2,111,True,0.214969222527,0,0.0,32.0,0.00917671692753
39,comp,Cued,prime_right.png,target_right.png,,l,d,-5.0,2,145,False,0.216704705013,0,0.0,45.0,0.00907964132
40,comp,Cued,,target_right.png,,space,l,-5.0,2,103,False,0.470582814095,0,0.0,38.0,0.00904892119104
41,comp,Free,prime_left.png,target_both.png,,d,d,-5.0,2,119,True,0.0764226696529,0,0.0,46.0,0.00898215611062
42,incomp,Cued,,target_right.png,,space,space,-5.0,2,118,True,0.438308656195,0,0.0,69.0,0.00905793242885
43,incomp,Free,,target_both.png,,space,space,5.0,2,115,True,0.421820548572,0,0.0,39.0,0.00960843714006
44,comp,Free,prime_left.png,target_both.png,,d,d,5.0,2,133,True,0.0395228795333,0,0.0,62.0,0.00975302654706
45,comp,Free,prime_right.png,target_both.png,,l,l,5.0,2,113,True,0.199369541033,0,0.0,56.0,0.00915132162095
46,comp,Cued,prime_left.png,target_left.png,,d,d,-5.0,2,142,True,0.180409077429,0,0.0,33.0,0.00906653406491
47,incomp,Free,prime_right.png,target_both.png,,l,d,-5.0,2,131,False,0.29428368032,0,0.0,32.0,0.00916320007082
