,cond,choiceType,prime,target,effect,corrResp,resp,pos,block,fixTime,ifcorr,RT,soa_rating,rating_RT,ITI,saveTime
1,comp,Free,prime_right.png,target_both.png,,dl,l,-250.0,3,114,True,0.251430920751,0,0.0,25.0,0.00184128646595
2,incomp,Free,prime_right.png,target_both.png,,dl,d,250.0,3,142,False,0.0456681151973,0,0.0,23.0,0.00176089765966
3,comp,Cued,prime_right.png,target_right.png,,l,l,250.0,3,119,True,0.532446453399,0,0.0,58.0,0.00175974924821
4,comp,Cued,prime_right.png,target_right.png,,l,l,-250.0,3,128,True,0.0483622886159,0,0.0,47.0,0.00199057996304
5,comp,Free,prime_right.png,target_both.png,,dl,l,-250.0,3,123,True,0.164981564167,0,0.0,45.0,0.0017777410286
6,incomp,Free,prime_right.png,target_both.png,,dl,d,-250.0,3,134,False,0.257359021002,0,0.0,31.0,0.00174099186006
7,incomp,Cued,prime_right.png,target_left.png,,d,d,-250.0,3,110,False,0.263742657822,0,0.0,39.0,0.00175860083675
8,incomp,Free,prime_right.png,target_both.png,,dl,d,-250.0,3,145,False,0.245966395948,0,0.0,53.0,0.00176549130572
9,incomp,Cued,prime_right.png,target_left.png,,d,l,250.0,3,105,True,0.180564360044,0,0.0,28.0,0.00174596830993
10,incomp,Cued,prime_left.png,target_right.png,,l,l,250.0,3,138,False,0.0201243806232,0,0.0,60.0,0.00196876014434
11,incomp,Free,prime_right.png,target_both.png,,dl,d,250.0,3,138,False,0.601739690327,0,0.0,43.0,0.00182559150846
12,incomp,Cued,prime_left.png,target_right.png,,l,l,250.0,3,117,False,0.123244461594,0,0.0,73.0,0.00188454329975
13,incomp,Cued,prime_left.png,target_right.png,,l,l,250.0,3,127,False,0.221621985803,0,0.0,52.0,0.00186310628476
14,comp,Cued,prime_left.png,target_left.png,,d,d,250.0,3,129,True,0.10576448989,0,0.0,52.0,0.00186540310779
15,comp,Free,prime_left.png,target_both.png,,dl,d,250.0,3,124,True,0.0881451775904,0,0.0,52.0,0.00176051485585
16,comp,Cued,prime_left.png,target_left.png,,d,d,250.0,3,143,True,0.199860735963,0,0.0,42.0,0.00177391299019
17,incomp,Free,prime_right.png,target_both.png,,dl,d,250.0,3,121,False,0.132119002995,0,0.0,29.0,0.00176013205191
18,incomp,Free,prime_left.png,target_both.png,,dl,l,-250.0,3,114,False,0.374732037312,0,0.0,45.0,0.00179267037834
19,incomp,Cued,prime_right.png,target_left.png,,d,d,-250.0,3,117,False,0.0201186385657,0,0.0,58.0,0.00203000875854
20,incomp,Cued,prime_left.png,target_right.png,,l,l,250.0,3,105,False,0.355620555648,0,0.0,70.0,0.00181257617794
21,incomp,Free,prime_right.png,target_both.png,,dl,d,-250.0,3,118,False,0.151716645536,0,0.0,33.0,0.00201507940892
22,comp,Free,prime_left.png,target_both.png,,dl,d,-250.0,3,137,True,0.352235421299,0,0.0,67.0,0.00179381879002
23,comp,Free,prime_left.png,target_both.png,,dl,d,-250.0,3,108,True,0.214581840398,0,0.0,38.0,0.00196493210592
24,comp,Free,prime_left.png,target_both.png,,dl,d,-250.0,3,115,True,0.444822271834,0,0.0,50.0,0.00179420159361
25,comp,Free,prime_right.png,target_both.png,,dl,l,-250.0,3,134,True,0.0469137588889,0,0.0,67.0,0.00198368949395
26,comp,Cued,prime_left.png,target_left.png,,d,d,-250.0,3,145,True,0.129155335673,0,0.0,32.0,0.00176166326742
27,comp,Cued,prime_right.png,target_right.png,,l,l,250.0,3,137,True,0.0102821111168,0,0.0,49.0,0.00181027935491
28,incomp,Cued,prime_left.png,target_right.png,,l,d,-250.0,3,107,True,0.23024196265,0,0.0,29.0,0.00182214627398
29,comp,Free,prime_left.png,target_both.png,,dl,d,250.0,3,109,True,0.302715916678,0,0.0,72.0,0.00178999075138
30,comp,Cued,prime_left.png,target_left.png,,d,d,250.0,3,130,True,0.0201071544507,0,0.0,57.0,0.00191057396091
31,incomp,Cued,prime_right.png,target_left.png,,d,l,250.0,3,121,True,-0.00831641340392,0,0.0,33.0,0.00180262327831
32,comp,Free,prime_left.png,target_both.png,,dl,d,-250.0,3,127,True,0.333399941202,0,0.0,69.0,0.00183018515463
33,incomp,Cued,prime_right.png,target_left.png,,d,l,250.0,3,143,True,0.0104229829294,0,0.0,36.0,0.00189411339557
34,incomp,Free,prime_right.png,target_both.png,,dl,d,250.0,3,139,False,0.397949090151,0,0.0,53.0,0.00190904274541
35,comp,Cued,prime_left.png,target_left.png,,d,l,-250.0,3,134,False,0.0421003834163,0,0.0,52.0,0.0019304797604
36,comp,Free,prime_left.png,target_both.png,,dl,d,250.0,3,148,True,0.3245552585,0,0.0,24.0,0.00178501430173
37,comp,Cued,prime_right.png,target_right.png,,l,d,250.0,3,109,False,0.468786940571,0,0.0,66.0,0.00179841243585
38,comp,Free,prime_left.png,target_both.png,,dl,d,250.0,3,142,True,0.160910062535,0,0.0,51.0,0.00181449019715
39,comp,Free,prime_left.png,target_both.png,,dl,d,250.0,3,121,True,0.147097734414,0,0.0,28.0,0.00198790033642
40,incomp,Cued,prime_right.png,target_left.png,,d,l,-250.0,3,105,True,0.247798112317,0,0.0,50.0,0.00179802963203
41,comp,Free,prime_left.png,target_both.png,,dl,d,-250.0,3,111,True,0.222182027819,0,0.0,40.0,0.00210350709585
42,incomp,Cued,prime_left.png,target_right.png,,l,l,-250.0,3,143,False,0.278584345467,0,0.0,53.0,0.00186195787342
43,incomp,Free,prime_left.png,target_both.png,,dl,l,-250.0,3,114,False,0.106703507709,0,0.0,31.0,0.00185047375794
44,comp,Free,prime_left.png,target_both.png,,dl,d,-250.0,3,138,True,0.255285372607,0,0.0,54.0,0.00228725293846
45,incomp,Cued,prime_right.png,target_left.png,,d,l,-250.0,3,132,True,0.163435802265,0,0.0,64.0,0.00184396609279
46,comp,Free,prime_left.png,target_both.png,,dl,d,250.0,3,132,True,0.0531871482026,0,0.0,40.0,0.00188684012278
47,comp,Cued,prime_left.png,target_left.png,,d,l,250.0,3,147,False,0.0234716173927,0,0.0,56.0,0.00183477880068
48,incomp,Free,prime_left.png,target_both.png,,dl,l,-250.0,3,125,False,0.460040638455,0,0.0,63.0,0.00184243487752
49,incomp,Free,prime_left.png,target_both.png,,dl,l,250.0,3,114,False,0.192082544758,0,0.0,57.0,0.00187305918462
50,incomp,Cued,prime_left.png,target_right.png,,l,l,250.0,3,129,False,0.336336429451,0,0.0,56.0,0.00181755262793
