,cond,choiceType,prime,target,effect,corrResp,resp,pos,block,fixTime,ifcorr,RT,soa_rating,rating_RT,delay1,delay2,ITI,saveTime
1,incomp,Free,prime_left.png,target_both.png,blue,dl,l,-250.0,3,139,True,0.508122331858,7,1.861,58.0,107.0,66.0,0.0026819236964
2,comp,Cued,prime_right.png,target_right.png,red,l,l,250.0,3,114,True,0.332392784301,1,1.151,53.0,105.0,24.0,0.00274278950656
3,incomp,Cued,prime_right.png,target_left.png,yellow,d,d,250.0,3,120,True,0.459458393816,6,0.901,58.0,83.0,32.0,0.00253492702268
4,comp,Cued,prime_right.png,target_right.png,red,l,l,-250.0,3,122,True,0.280734554631,2,1.391,54.0,111.0,68.0,0.00259196479419
5,comp,Cued,prime_right.png,target_right.png,red,l,l,250.0,3,103,True,0.405767092957,2,1.962,46.0,80.0,33.0,0.00256172329136
6,comp,Cued,prime_right.png,target_right.png,red,l,l,-250.0,3,136,True,0.386339032517,7,0.871,45.0,113.0,41.0,0.00257512142525
7,incomp,Free,prime_left.png,target_both.png,blue,dl,l,-250.0,3,148,True,0.381546711255,1,1.531,41.0,100.0,71.0,0.00272211809988
8,comp,Free,prime_right.png,target_both.png,red,dl,l,-250.0,3,108,True,0.314358129835,7,0.941,46.0,120.0,52.0,0.00255215319521
9,incomp,Cued,prime_left.png,target_right.png,blue,l,l,250.0,3,118,True,0.315442230307,7,1.271,49.0,121.0,41.0,0.00263407321654
10,incomp,Cued,prime_right.png,target_left.png,yellow,d,d,-250.0,3,142,True,0.480202533855,7,0.901,41.0,114.0,38.0,0.00257933226749
11,incomp,Free,prime_left.png,target_both.png,blue,dl,l,250.0,3,125,True,0.459506244296,7,1.071,50.0,112.0,36.0,0.00284959177816
12,comp,Free,prime_right.png,target_both.png,red,dl,l,250.0,3,134,True,0.31087270088,7,1.091,41.0,84.0,58.0,0.00255751244867
13,comp,Cued,prime_right.png,target_right.png,red,l,l,250.0,3,102,True,0.327884886292,7,0.891,46.0,80.0,40.0,0.00258507432545
14,comp,Free,prime_right.png,target_both.png,red,dl,l,250.0,3,144,True,0.301076750638,7,0.941,46.0,118.0,65.0,0.00267350201193
15,incomp,Cued,prime_left.png,target_right.png,blue,l,l,-250.0,3,122,True,0.442415584098,7,0.961,53.0,91.0,33.0,0.00266546313151
16,incomp,Free,prime_left.png,target_both.png,blue,dl,l,-250.0,3,131,True,0.657047571799,7,0.891,45.0,112.0,43.0,0.00258048067917
17,incomp,Free,prime_left.png,target_both.png,blue,dl,l,-250.0,3,121,True,0.382079191396,7,0.921,40.0,111.0,41.0,0.00259043357892
18,comp,Cued,prime_left.png,target_left.png,green,d,d,250.0,3,106,True,0.369530881551,7,1.581,51.0,102.0,34.0,0.00255100478353
19,comp,Free,prime_right.png,target_both.png,red,dl,l,250.0,3,135,True,0.314318701039,7,1.001,41.0,99.0,45.0,0.00268919696964
20,incomp,Cued,prime_right.png,target_left.png,yellow,d,d,250.0,3,117,True,0.323525898977,7,0.901,47.0,93.0,72.0,0.00268881416559
21,incomp,Cued,prime_left.png,target_right.png,blue,l,l,250.0,3,115,True,0.372726527999,7,0.931,56.0,123.0,54.0,0.00258316030568
22,incomp,Free,prime_right.png,target_both.png,yellow,dl,d,-250.0,3,125,True,0.344022364931,6,1.712,42.0,113.0,51.0,0.00258583993309
23,incomp,Free,prime_left.png,target_both.png,blue,dl,l,250.0,3,142,True,0.30421689053,7,1.421,39.0,98.0,60.0,0.002559426468
24,comp,Cued,prime_right.png,target_right.png,red,l,l,250.0,3,110,True,0.24036674139,5,2.052,57.0,92.0,61.0,0.00258009787558
25,comp,Cued,prime_right.png,target_right.png,red,l,l,-250.0,3,128,True,0.361712878746,7,0.911,52.0,105.0,63.0,0.00264823695898
26,incomp,Free,prime_left.png,target_both.png,blue,dl,l,250.0,3,111,True,0.457067018233,7,0.921,40.0,86.0,28.0,0.00268422051977
27,incomp,Cued,prime_right.png,target_left.png,yellow,d,d,250.0,3,128,True,0.358279511114,7,0.861,45.0,116.0,32.0,0.00261072218245
28,comp,Cued,prime_left.png,target_left.png,green,d,d,-250.0,3,124,True,0.31785657412,7,1.111,50.0,110.0,60.0,0.00299888527525
29,incomp,Free,prime_left.png,target_both.png,blue,dl,l,-250.0,3,109,True,0.450800519387,7,0.911,56.0,101.0,72.0,0.00270221229994
30,comp,Cued,prime_left.png,target_left.png,green,d,d,250.0,3,145,True,0.409510148895,2,1.341,45.0,121.0,61.0,0.00257665264053
31,comp,Free,prime_right.png,target_both.png,red,dl,l,-250.0,3,105,True,0.407925723805,7,0.881,40.0,95.0,35.0,0.00274891436811
32,incomp,Cued,prime_left.png,target_right.png,blue,l,l,-250.0,3,109,True,0.357559839897,6,1.531,48.0,83.0,27.0,0.00270029828062
33,comp,Cued,prime_right.png,target_right.png,red,l,l,250.0,3,142,True,0.31230362163,7,0.991,56.0,78.0,35.0,0.00265857266231
