,cond,choiceType,prime,target,effect,corrResp,resp,pos,block,fixTime,ifcorr,RT,soa_rating,rating_RT,delay1,delay2,ITI,saveTime
1,comp,Free,prime_right.png,target_both.png,red,dl,l,250.0,0,118,True,1.01985067588,1,5.293,54.0,76.0,48.0,0.0029261525458
2,comp,Cued,prime_right.png,target_right.png,red,l,l,-250.0,0,107,True,0.684811568638,2,8.486,41.0,84.0,44.0,0.00273436782243
3,incomp,Free,prime_left.png,target_both.png,yellow,dl,l,-250.0,0,136,True,0.841326660297,2,6.704,53.0,84.0,27.0,0.0024273591435
4,incomp,Cued,prime_left.png,target_right.png,yellow,l,l,-250.0,0,112,True,1.33319667236,2,8.766,42.0,78.0,65.0,0.00242965596652
5,incomp,Free,prime_left.png,target_both.png,yellow,dl,l,-250.0,0,118,True,1.3395117873,2,3.112,51.0,110.0,23.0,0.00243080437804
6,comp,Free,prime_right.png,target_both.png,red,dl,l,250.0,0,103,True,0.719933055265,2,4.173,42.0,100.0,69.0,0.00246142868519
7,comp,Cued,prime_right.png,target_right.png,red,l,l,-250.0,0,117,True,0.542867905114,7,2.752,42.0,88.0,56.0,0.00240860175541
8,incomp,Free,prime_right.png,target_both.png,green,dl,d,-250.0,0,110,True,0.686969816683,2,5.344,45.0,99.0,31.0,0.00242774194737
9,incomp,Free,prime_left.png,target_both.png,yellow,dl,l,250.0,0,125,True,0.867747781269,2,4.493,58.0,78.0,35.0,0.00243960886633
10,incomp,Cued,prime_right.png,target_left.png,cross,d,NoResp,-250.0,0,106,False,,3,4.043,53.0,99.0,42.0,0.00245836625447
11,comp,Cued,prime_left.png,target_left.png,blue,d,d,250.0,0,129,True,0.612677927224,7,2.352,58.0,99.0,71.0,0.00243616363184
12,comp,Cued,prime_left.png,target_left.png,blue,d,d,-250.0,0,110,True,0.450774871531,7,2.382,56.0,105.0,65.0,0.00248324850395
13,incomp,Cued,prime_left.png,target_right.png,yellow,l,l,-250.0,0,119,True,0.565153596212,5,4.423,40.0,115.0,41.0,0.00245185858921
14,incomp,Cued,prime_right.png,target_left.png,green,d,d,250.0,0,135,True,0.484299683345,6,2.932,57.0,122.0,31.0,
15,incomp,Cued,prime_right.png,target_left.png,,d,left,250.0,0,111,False,0.0,0,0.0,,,,
16,incomp,Free,prime_left.png,target_both.png,,dl,right,-250.0,0,111,False,0.0,0,0.0,,,,
17,incomp,Free,prime_right.png,target_both.png,,dl,left,-250.0,0,143,False,0.0,0,0.0,,,,
18,comp,Cued,prime_right.png,target_right.png,,l,right,250.0,0,107,False,0.0,0,0.0,,,,
19,incomp,Free,prime_right.png,target_both.png,,dl,left,250.0,0,125,False,0.0,0,0.0,,,,
20,comp,Cued,prime_right.png,target_right.png,,l,right,250.0,0,138,False,0.0,0,0.0,,,,
21,incomp,Free,prime_left.png,target_both.png,,dl,right,250.0,0,140,False,0.0,0,0.0,,,,
22,incomp,Cued,prime_left.png,target_right.png,,l,right,-250.0,0,133,False,0.0,0,0.0,,,,
23,comp,Cued,prime_right.png,target_right.png,,l,right,-250.0,0,137,False,0.0,0,0.0,,,,
24,comp,Cued,prime_left.png,target_left.png,,d,left,250.0,0,111,False,0.0,0,0.0,,,,
25,incomp,Free,prime_left.png,target_both.png,,dl,right,-250.0,0,130,False,0.0,0,0.0,,,,
26,incomp,Free,prime_right.png,target_both.png,,dl,left,250.0,0,143,False,0.0,0,0.0,,,,
27,incomp,Free,prime_right.png,target_both.png,,dl,left,-250.0,0,135,False,0.0,0,0.0,,,,
28,incomp,Free,prime_right.png,target_both.png,,dl,left,250.0,0,112,False,0.0,0,0.0,,,,
29,incomp,Free,prime_right.png,target_both.png,,dl,left,-250.0,0,118,False,0.0,0,0.0,,,,
30,incomp,Cued,prime_left.png,target_right.png,,l,right,250.0,0,146,False,0.0,0,0.0,,,,
31,comp,Cued,prime_right.png,target_right.png,,l,right,-250.0,0,120,False,0.0,0,0.0,,,,
32,incomp,Cued,prime_right.png,target_left.png,,d,left,-250.0,0,139,False,0.0,0,0.0,,,,
33,comp,Cued,prime_right.png,target_right.png,,l,right,250.0,0,133,False,0.0,0,0.0,,,,
34,incomp,Cued,prime_left.png,target_right.png,,l,right,-250.0,0,122,False,0.0,0,0.0,,,,
35,incomp,Cued,prime_right.png,target_left.png,,d,left,250.0,0,149,False,0.0,0,0.0,,,,
36,comp,Free,prime_left.png,target_both.png,,dl,left,-250.0,0,129,False,0.0,0,0.0,,,,
