,cond,choiceType,prime,target,effect,corrResp,resp,pos,block,fixTime,ifcorr,RT,soa_rating,rating_RT,delay1,delay2,ITI,saveTime
1,comp,Free,prime_right.png,target_both.png,yellow,dl,l,-5.0,3,120,True,0.400131072543,4,1.471,49.0,118.0,40.0,0.0153772890799
2,incomp,Cued,prime_right.png,target_left.png,blue,d,d,5.0,3,146,True,0.422883105799,4,1.662,43.0,105.0,46.0,0.00318647135418
3,comp,Free,prime_left.png,target_both.png,red,dl,d,-5.0,3,139,True,0.309665374574,4,0.881,56.0,125.0,30.0,0.00322551749514
4,comp,Free,prime_right.png,target_both.png,yellow,dl,l,-5.0,3,101,True,0.296706266599,6,1.662,48.0,86.0,27.0,0.00322628310596
5,incomp,Free,prime_left.png,target_both.png,green,dl,l,5.0,3,132,True,0.33802435713,7,1.992,54.0,102.0,36.0,0.00323661884931
6,incomp,Free,prime_right.png,target_both.png,cross,dl,NoResp,5.0,3,120,False,,3,1.111,59.0,96.0,26.0,0.00322628310596
7,comp,Free,prime_left.png,target_both.png,red,dl,d,-5.0,3,111,True,0.734913068736,3,1.612,55.0,106.0,67.0,0.00335835093574
8,incomp,Cued,prime_left.png,target_right.png,green,l,l,5.0,3,144,True,0.371302005064,5,1.011,43.0,85.0,66.0,0.00325767314098
9,comp,Free,prime_left.png,target_both.png,red,dl,d,5.0,3,135,True,0.366585460899,3,2.202,45.0,102.0,72.0,0.00328906317554
10,incomp,Free,prime_right.png,target_both.png,blue,dl,d,-5.0,3,101,True,0.607080213798,5,0.721,57.0,110.0,70.0,0.00327643060064
11,incomp,Free,prime_right.png,target_both.png,blue,dl,d,5.0,3,131,True,0.319899674389,6,1.041,52.0,112.0,64.0,0.00327643060064
12,incomp,Cued,prime_right.png,target_left.png,blue,d,d,-5.0,3,120,True,0.320876593527,4,0.921,45.0,121.0,67.0,0.00330590660951
13,incomp,Free,prime_right.png,target_both.png,blue,dl,d,5.0,3,126,True,0.499748879723,4,0.761,47.0,93.0,25.0,0.00330054733513
14,comp,Free,prime_right.png,target_both.png,yellow,dl,l,-5.0,3,108,True,0.351243389901,7,1.091,53.0,76.0,45.0,0.00350841061527
15,comp,Cued,prime_right.png,target_right.png,yellow,l,l,5.0,3,114,True,0.352515069128,5,1.492,46.0,122.0,33.0,0.00332083601597
16,comp,Free,prime_right.png,target_both.png,yellow,dl,l,5.0,3,126,True,0.548748341491,5,3.233,48.0,110.0,28.0,0.00349462962413
17,comp,Cued,prime_left.png,target_left.png,red,d,d,5.0,3,141,True,0.396402931685,7,2.612,46.0,111.0,28.0,0.00353291015517
18,comp,Cued,prime_right.png,target_right.png,yellow,l,l,-5.0,3,115,True,0.365168315664,5,3.253,42.0,113.0,48.0,0.00334686677661
19,incomp,Free,prime_left.png,target_both.png,green,dl,l,5.0,3,113,True,0.370745023349,4,0.661,40.0,122.0,50.0,0.00334954641403
20,comp,Cued,prime_left.png,target_left.png,red,d,d,5.0,3,113,True,0.508525839745,2,4.303,41.0,111.0,69.0,0.00338897536039
21,incomp,Cued,prime_left.png,target_right.png,green,l,l,-5.0,3,139,True,0.37892442428,6,1.061,38.0,118.0,31.0,0.00336830387414
22,comp,Cued,prime_left.png,target_left.png,red,d,d,5.0,3,149,True,0.36607058777,4,1.021,45.0,84.0,24.0,0.00358688570304
23,incomp,Cued,prime_left.png,target_right.png,green,l,l,-5.0,3,136,True,0.425380910427,5,5.804,40.0,79.0,70.0,0.00339242060818
24,incomp,Cued,prime_right.png,target_left.png,blue,d,d,5.0,3,149,True,0.351643038637,4,5.854,41.0,79.0,39.0,0.00342534186393
25,incomp,Free,prime_right.png,target_both.png,blue,dl,d,-5.0,3,138,True,0.300035141525,4,0.471,46.0,102.0,52.0,0.00359454180898
26,incomp,Free,prime_right.png,target_both.png,blue,dl,d,5.0,3,101,True,0.545641110832,4,0.491,49.0,109.0,27.0,0.00341347489984
27,comp,Free,prime_right.png,target_both.png,yellow,dl,l,5.0,3,124,True,0.339182725991,7,1.131,41.0,106.0,28.0,0.00343070113877
28,comp,Free,prime_left.png,target_both.png,red,dl,d,5.0,3,149,True,0.480299690607,5,2.672,46.0,92.0,28.0,0.00349156718221
29,comp,Cued,prime_right.png,target_right.png,yellow,l,l,5.0,3,149,True,0.596569528541,6,3.993,44.0,115.0,29.0,0.00346591922653
30,comp,Cued,prime_right.png,target_right.png,yellow,l,l,5.0,3,114,True,0.476044044044,5,3.733,48.0,77.0,48.0,0.00345596628858
31,comp,Cued,prime_right.png,target_right.png,yellow,l,l,5.0,3,145,True,0.421042195099,6,1.221,55.0,106.0,43.0,0.00346515361571
32,incomp,Cued,prime_left.png,target_right.png,cross,l,NoResp,-5.0,3,104,False,,1,3.253,46.0,75.0,38.0,0.00348161424427
33,comp,Free,prime_right.png,target_both.png,yellow,dl,l,-5.0,3,104,True,0.343664610496,7,1.532,48.0,120.0,56.0,0.00351683233202
34,comp,Cued,prime_left.png,target_left.png,red,d,d,5.0,3,131,True,0.476220134486,3,4.594,44.0,119.0,40.0,0.00348199704922
35,incomp,Free,prime_right.png,target_both.png,blue,dl,d,-5.0,3,130,True,0.389120826367,4,7.225,38.0,83.0,43.0,0.00352563685419
36,incomp,Cued,prime_left.png,target_right.png,green,l,l,-5.0,3,120,True,0.331143431787,7,1.311,46.0,103.0,54.0,0.00350534817289
37,incomp,Cued,prime_right.png,target_left.png,blue,d,d,-5.0,3,117,True,0.412200923791,5,0.701,57.0,121.0,24.0,0.00350917622609
38,incomp,Free,prime_right.png,target_both.png,blue,dl,d,5.0,3,118,True,0.487473462024,4,0.771,51.0,76.0,36.0,0.00351453550047
39,incomp,Free,prime_right.png,target_both.png,blue,dl,d,5.0,3,121,True,0.342574380978,4,1.452,44.0,76.0,53.0,0.00352869929657
40,incomp,Cued,prime_right.png,target_left.png,blue,d,d,5.0,3,114,True,0.627701169928,4,2.282,40.0,84.0,35.0,0.00352066038522
41,incomp,Cued,prime_left.png,target_right.png,cross,l,d,5.0,3,143,False,0.412161112035,3,4.133,47.0,116.0,33.0,0.00357425312768
42,comp,Cued,prime_right.png,target_right.png,yellow,l,l,-5.0,3,117,True,0.32953679793,4,1.502,46.0,85.0,25.0,0.003754554426
43,incomp,Free,prime_left.png,target_both.png,green,dl,l,-5.0,3,148,True,0.436424843443,4,1.101,58.0,93.0,27.0,0.00356812824293
44,comp,Cued,prime_right.png,target_right.png,yellow,l,l,-5.0,3,123,True,0.313565395016,4,0.611,44.0,98.0,60.0,0.00357731557051
45,incomp,Cued,prime_right.png,target_left.png,blue,d,d,-5.0,3,116,True,0.383187726955,5,0.851,40.0,114.0,58.0,0.00365579065738
46,incomp,Cued,prime_left.png,target_right.png,green,l,l,5.0,3,116,True,1.22981525051,6,1.732,51.0,75.0,69.0,0.0035853544814
47,incomp,Free,prime_left.png,target_both.png,green,dl,l,-5.0,3,127,True,0.51605102641,7,1.091,50.0,90.0,58.0,0.00360640877307
48,incomp,Free,prime_left.png,target_both.png,cross,dl,NoResp,-5.0,3,133,False,,6,1.422,58.0,91.0,51.0,0.00362516623318
49,incomp,Cued,prime_right.png,target_left.png,blue,d,d,-5.0,3,141,True,0.435047509964,2,1.942,46.0,85.0,39.0,0.00363856441891
50,comp,Free,prime_left.png,target_both.png,red,dl,d,5.0,3,135,True,0.583829768002,2,1.101,48.0,80.0,41.0,0.00366000151553
51,incomp,Cued,prime_right.png,target_left.png,blue,d,d,-5.0,3,107,True,0.337434454152,5,0.811,47.0,114.0,49.0,0.00367990739187
52,incomp,Free,prime_right.png,target_both.png,blue,dl,d,5.0,3,129,True,0.384148185462,6,0.931,56.0,76.0,44.0,0.00368794630276
53,incomp,Free,prime_right.png,target_both.png,blue,dl,d,-5.0,3,127,True,0.301451138352,7,1.171,57.0,99.0,62.0,0.00373311732892
54,comp,Free,prime_left.png,target_both.png,red,dl,d,-5.0,3,129,True,0.434941855696,1,4.964,49.0,112.0,45.0,0.00370517254214
55,comp,Cued,prime_left.png,target_left.png,red,d,d,-5.0,3,123,True,0.353259242649,5,3.483,51.0,77.0,24.0,0.00373350013433
56,incomp,Free,prime_right.png,target_both.png,blue,dl,d,5.0,3,134,True,0.911674183692,5,2.022,41.0,122.0,51.0,0.00377178066492
57,comp,Cued,prime_left.png,target_left.png,red,d,d,-5.0,3,131,True,0.387343844151,6,0.871,51.0,102.0,46.0,0.00375417162104
58,comp,Free,prime_left.png,target_both.png,red,dl,d,-5.0,3,110,True,0.296493044036,4,0.781,48.0,84.0,27.0,0.00397160503371
59,incomp,Cued,prime_left.png,target_right.png,green,l,l,5.0,3,108,True,0.382487193245,4,1.562,50.0,99.0,27.0,0.00398844846723
60,comp,Cued,prime_right.png,target_right.png,yellow,l,l,5.0,3,150,True,0.439140081478,4,0.661,38.0,82.0,50.0,0.00376833541713
61,incomp,Free,prime_left.png,target_both.png,green,dl,l,5.0,3,102,True,0.44812375636,4,4.073,44.0,115.0,29.0,0.00377254627529
62,comp,Cued,prime_right.png,target_right.png,yellow,l,l,-5.0,3,118,True,0.317598631693,4,4.703,40.0,83.0,60.0,0.00378211640782
63,incomp,Cued,prime_left.png,target_right.png,green,l,l,-5.0,3,121,True,0.306723898611,6,0.831,52.0,92.0,49.0,0.00377216347033
64,comp,Cued,prime_right.png,target_right.png,yellow,l,l,5.0,3,119,True,0.322016970516,3,0.701,38.0,85.0,24.0,0.0038364747611
65,comp,Free,prime_right.png,target_both.png,yellow,dl,l,5.0,3,127,True,0.523668851965,4,0.441,47.0,123.0,54.0,0.00381006119505
66,comp,Free,prime_right.png,target_both.png,yellow,dl,l,-5.0,3,101,True,0.442996462123,4,0.831,38.0,122.0,55.0,0.00381312363743
67,comp,Cued,prime_right.png,target_right.png,yellow,l,l,-5.0,3,128,True,0.272141650203,3,1.051,45.0,77.0,56.0,0.00396624575933
68,incomp,Cued,prime_right.png,target_left.png,blue,d,d,5.0,3,118,True,0.465586951555,3,1.882,53.0,91.0,32.0,0.00382460779701
69,incomp,Free,prime_right.png,target_both.png,blue,dl,d,-5.0,3,149,True,0.724036421627,5,2.712,42.0,76.0,65.0,0.00386863040694
70,comp,Free,prime_left.png,target_both.png,red,dl,d,5.0,3,111,True,0.41848237603,4,3.763,38.0,77.0,72.0,0.00385906027441
71,comp,Free,prime_right.png,target_both.png,yellow,dl,l,-5.0,3,143,True,0.539815196913,6,2.802,46.0,101.0,39.0,0.00392566839719
72,incomp,Cued,prime_right.png,target_left.png,blue,d,d,5.0,3,141,True,0.473994121639,4,13.989,49.0,110.0,30.0,0.00408185296146
73,comp,Free,prime_right.png,target_both.png,yellow,dl,l,5.0,3,145,True,0.749480724597,7,0.921,39.0,105.0,38.0,0.00386518515916
74,incomp,Free,prime_left.png,target_both.png,green,dl,l,-5.0,3,122,True,0.410161337131,4,0.671,44.0,112.0,70.0,0.00391035618486
75,incomp,Free,prime_right.png,target_both.png,blue,dl,d,-5.0,3,119,True,0.321455777957,4,2.212,39.0,108.0,45.0,0.00390308288434
76,incomp,Cued,prime_right.png,target_left.png,blue,d,d,-5.0,3,122,True,0.421527592218,5,13.419,50.0,77.0,52.0,0.00421124115474
77,incomp,Free,prime_left.png,target_both.png,green,dl,l,5.0,3,117,True,0.345514325716,5,3.373,51.0,102.0,41.0,0.00390576252175
78,incomp,Cued,prime_right.png,target_left.png,blue,d,d,5.0,3,102,True,0.355688525102,6,1.972,45.0,79.0,71.0,0.00391724668043
