,cond,choiceType,prime,target,effect,corrResp,resp,pos,block,fixTime,ifcorr,RT,soa_rating,rating_RT,delay1,delay2,ITI,saveTime
1,incomp,Free,prime_right.png,target_both.png,green,dl,d,5.0,1,120,True,1.07697487343,2,6.614,50.0,97.0,47.0,0.00348850473949
2,incomp,Cued,prime_left.png,target_right.png,cross,l,NoResp,-5.0,1,120,False,,1,4.534,44.0,94.0,47.0,0.00333959347608
3,incomp,Free,prime_left.png,target_both.png,blue,dl,l,-5.0,1,138,True,1.42307986775,1,3.743,50.0,76.0,29.0,0.00318072927473
4,incomp,Free,prime_left.png,target_both.png,cross,dl,NoResp,-5.0,1,127,False,,1,2.382,53.0,102.0,46.0,0.00321824419461
5,comp,Cued,prime_right.png,target_right.png,red,l,l,-5.0,1,143,True,0.856107314117,1,2.322,56.0,78.0,47.0,0.00320982247786
6,incomp,Cued,prime_right.png,target_left.png,green,d,d,5.0,1,110,True,0.871876595818,2,6.124,48.0,76.0,37.0,0.00322475188477
7,incomp,Free,prime_left.png,target_both.png,blue,dl,l,5.0,1,133,True,0.876025056903,2,3.453,51.0,114.0,24.0,0.00325039984023
8,incomp,Free,prime_left.png,target_both.png,blue,dl,l,5.0,1,137,True,1.01582172603,2,3.353,40.0,88.0,46.0,0.00321365053094
9,incomp,Free,prime_left.png,target_both.png,blue,dl,l,-5.0,1,145,True,0.649171571044,3,8.145,55.0,112.0,41.0,0.0032366188492
10,incomp,Cued,prime_left.png,target_right.png,blue,l,l,-5.0,1,147,True,0.69156993815,2,4.683,43.0,106.0,31.0,
11,incomp,Cued,prime_left.png,target_right.png,,l,right,5.0,1,150,False,0.0,0,0.0,,,,
12,comp,Free,prime_right.png,target_both.png,,dl,right,-5.0,1,126,False,0.0,0,0.0,,,,
13,comp,Cued,prime_left.png,target_left.png,,d,left,-5.0,1,110,False,0.0,0,0.0,,,,
14,incomp,Free,prime_right.png,target_both.png,,dl,left,-5.0,1,106,False,0.0,0,0.0,,,,
15,comp,Free,prime_left.png,target_both.png,,dl,left,5.0,1,148,False,0.0,0,0.0,,,,
16,comp,Free,prime_left.png,target_both.png,,dl,left,5.0,1,124,False,0.0,0,0.0,,,,
17,incomp,Free,prime_left.png,target_both.png,,dl,right,5.0,1,129,False,0.0,0,0.0,,,,
18,comp,Free,prime_right.png,target_both.png,,dl,right,5.0,1,149,False,0.0,0,0.0,,,,
19,incomp,Cued,prime_right.png,target_left.png,,d,left,-5.0,1,119,False,0.0,0,0.0,,,,
20,incomp,Free,prime_left.png,target_both.png,,dl,right,5.0,1,129,False,0.0,0,0.0,,,,
21,comp,Cued,prime_right.png,target_right.png,,l,right,5.0,1,109,False,0.0,0,0.0,,,,
22,incomp,Free,prime_right.png,target_both.png,,dl,left,-5.0,1,122,False,0.0,0,0.0,,,,
23,incomp,Free,prime_right.png,target_both.png,,dl,left,5.0,1,104,False,0.0,0,0.0,,,,
24,incomp,Free,prime_right.png,target_both.png,,dl,left,5.0,1,145,False,0.0,0,0.0,,,,
25,incomp,Cued,prime_right.png,target_left.png,,d,left,-5.0,1,128,False,0.0,0,0.0,,,,
26,incomp,Cued,prime_left.png,target_right.png,,l,right,-5.0,1,101,False,0.0,0,0.0,,,,
27,comp,Cued,prime_right.png,target_right.png,,l,right,-5.0,1,100,False,0.0,0,0.0,,,,
28,comp,Cued,prime_left.png,target_left.png,,d,left,5.0,1,142,False,0.0,0,0.0,,,,
29,incomp,Free,prime_right.png,target_both.png,,dl,left,-5.0,1,128,False,0.0,0,0.0,,,,
30,comp,Cued,prime_left.png,target_left.png,,d,left,-5.0,1,130,False,0.0,0,0.0,,,,
31,incomp,Free,prime_left.png,target_both.png,,dl,right,-5.0,1,133,False,0.0,0,0.0,,,,
32,comp,Cued,prime_right.png,target_right.png,,l,right,5.0,1,122,False,0.0,0,0.0,,,,
33,comp,Cued,prime_right.png,target_right.png,,l,right,-5.0,1,140,False,0.0,0,0.0,,,,
34,comp,Free,prime_right.png,target_both.png,,dl,right,-5.0,1,115,False,0.0,0,0.0,,,,
35,incomp,Cued,prime_left.png,target_right.png,,l,right,-5.0,1,138,False,0.0,0,0.0,,,,
36,incomp,Cued,prime_left.png,target_right.png,,l,right,5.0,1,119,False,0.0,0,0.0,,,,
37,comp,Free,prime_left.png,target_both.png,,dl,left,-5.0,1,116,False,0.0,0,0.0,,,,
38,comp,Free,prime_right.png,target_both.png,,dl,right,-5.0,1,123,False,0.0,0,0.0,,,,
39,comp,Cued,prime_left.png,target_left.png,,d,left,5.0,1,120,False,0.0,0,0.0,,,,
