,cond,choiceType,prime,target,effect,corrResp,resp,pos,block,fixTime,ifcorr,RT,soa_rating,rating_RT,ITI,saveTime
1,comp,Free,prime_left.png,target_both.png,,d,l,-5.0,2,100,False,0.40274830188,0,0.0,72.0,0.00315966288781
2,incomp,Free,prime_right.png,target_both.png,,l,l,-5.0,2,104,True,0.154834965608,0,0.0,27.0,0.00312214811129
3,comp,Free,prime_left.png,target_both.png,,d,d,5.0,2,126,True,0.1873407536,0,0.0,66.0,0.0029594564794
4,comp,Cued,prime_left.png,target_left.png,,d,l,-5.0,2,120,False,0.116015211093,0,0.0,34.0,0.00321631785573
5,comp,Cued,prime_right.png,target_right.png,,l,d,5.0,2,113,False,0.352266811213,0,0.0,44.0,0.00286681795114
6,comp,Free,prime_right.png,target_both.png,,l,l,-5.0,2,137,True,0.224379704658,0,0.0,41.0,0.00300041649098
7,incomp,Cued,,target_right.png,,space,space,5.0,2,115,True,0.0370580912459,0,0.0,73.0,0.00288366131917
8,comp,Free,prime_right.png,target_both.png,,l,l,5.0,2,137,True,0.107162106709,0,0.0,70.0,0.00311449203491
9,comp,Free,prime_right.png,target_both.png,,l,l,5.0,2,124,True,0.283385088413,0,0.0,68.0,0.00324311412533
10,comp,Free,,target_both.png,,space,space,-5.0,2,120,True,0.0201603641835,0,0.0,40.0,0.00290394992317
11,incomp,Cued,,target_right.png,,space,space,5.0,2,138,True,0.236555546369,0,0.0,31.0,0.00302912677853
12,comp,Cued,prime_left.png,target_left.png,,d,l,-5.0,2,137,False,0.142462745531,0,0.0,55.0,0.0031734438262
13,incomp,Cued,prime_right.png,target_left.png,,l,l,5.0,2,120,True,0.156813678652,0,0.0,55.0,0.0029211760957
14,comp,Free,prime_right.png,target_both.png,,l,l,-5.0,2,125,True,0.239201103697,0,0.0,67.0,0.00313975708832
15,incomp,Cued,prime_left.png,target_right.png,,d,d,5.0,2,120,True,0.0653499745786,0,0.0,60.0,0.00335144761084
16,incomp,Free,,target_both.png,,space,space,5.0,2,132,True,0.000481184426462,0,0.0,30.0,0.0029150512346
17,comp,Free,prime_right.png,target_both.png,,l,l,-5.0,2,140,True,0.0760925987197,0,0.0,36.0,0.0029406990916
18,incomp,Cued,prime_right.png,target_left.png,,l,l,-5.0,2,133,True,0.212557573697,0,0.0,46.0,0.00294797236529
19,comp,Cued,prime_right.png,target_right.png,,l,l,-5.0,2,126,True,0.0347566745695,0,0.0,26.0,0.00302912677853
20,incomp,Cued,prime_left.png,target_right.png,,d,d,-5.0,2,119,True,0.323007582578,0,0.0,46.0,0.0029667297531
21,comp,Free,prime_left.png,target_both.png,,d,d,-5.0,2,148,True,0.375272173533,0,0.0,68.0,0.00297055779083
22,comp,Free,,target_both.png,,space,space,-5.0,2,118,True,0.177543272148,0,0.0,33.0,0.00305936828136
23,incomp,Free,prime_right.png,target_both.png,,l,l,5.0,2,141,True,0.171775949508,0,0.0,50.0,0.00300539294039
24,incomp,Cued,prime_right.png,target_left.png,,l,l,5.0,2,114,True,0.234525154807,0,0.0,23.0,0.00298931517864
25,incomp,Free,prime_right.png,target_both.png,,l,l,-5.0,2,136,True,0.238529665767,0,0.0,37.0,0.00300424452962
26,comp,Free,prime_right.png,target_both.png,,l,d,5.0,2,123,False,0.327107794499,0,0.0,27.0,0.00309879707766
27,incomp,Cued,,target_left.png,,space,space,-5.0,2,146,True,0.149291583217,0,0.0,31.0,0.00306013388945
28,incomp,Free,prime_left.png,target_both.png,,d,l,5.0,2,129,False,0.191765965981,0,0.0,44.0,0.00301343182127
29,incomp,Cued,prime_left.png,target_right.png,,d,d,5.0,2,136,True,0.241922456193,0,0.0,60.0,0.00311793726905
30,incomp,Cued,prime_right.png,target_left.png,,l,l,-5.0,2,121,True,0.496398581479,0,0.0,31.0,0.00312444493466
31,incomp,Free,prime_right.png,target_both.png,,l,l,-5.0,2,123,True,0.16222575933,0,0.0,35.0,0.00301687705542
32,incomp,Free,,target_both.png,,space,space,-5.0,2,149,True,0.130570944268,0,0.0,40.0,0.00312482773825
33,comp,Cued,prime_right.png,target_right.png,,l,l,-5.0,2,100,True,0.0411307412942,0,0.0,62.0,0.00324579375138
34,comp,Cued,,target_left.png,,space,space,-5.0,2,149,True,0.115538620314,0,0.0,25.0,0.00301266621318
35,incomp,Free,prime_right.png,target_both.png,,l,d,5.0,2,104,False,0.275779158932,0,0.0,27.0,0.00315506924198
36,incomp,Free,prime_right.png,target_both.png,,l,l,-5.0,2,137,True,0.214257222742,0,0.0,62.0,0.00317842027562
37,comp,Free,prime_left.png,target_both.png,,d,l,-5.0,2,111,False,0.0105627063313,0,0.0,67.0,0.00303372042526
38,comp,Cued,,target_right.png,,space,space,5.0,2,138,True,0.14079946285,0,0.0,26.0,0.00302797836684
39,incomp,Cued,prime_right.png,target_left.png,,l,l,-5.0,2,111,True,0.0875139340569,0,0.0,52.0,0.00322588795188
40,comp,Cued,prime_left.png,target_left.png,,d,l,-5.0,2,134,False,0.171800448952,0,0.0,72.0,0.00316999859206
41,comp,Cued,,target_right.png,,space,space,-5.0,2,105,True,0.368284089447,0,0.0,48.0,0.00315736606444
42,incomp,Free,prime_left.png,target_both.png,,d,l,5.0,2,126,False,0.378251535807,0,0.0,69.0,0.00309573464619
43,incomp,Cued,,target_right.png,,space,space,-5.0,2,115,True,0.150281896746,0,0.0,28.0,0.00307468043593
44,incomp,Free,,target_both.png,,space,space,5.0,2,148,True,0.160906234498,0,0.0,69.0,0.00311372642682
45,comp,Cued,prime_left.png,target_left.png,,d,l,5.0,2,148,False,0.278962172859,0,0.0,30.0,0.00306051669304
46,comp,Cued,prime_left.png,target_left.png,,d,l,5.0,2,128,False,0.221487621657,0,0.0,57.0,0.00340427454103
47,comp,Cued,prime_right.png,target_right.png,,l,d,5.0,2,104,False,0.120017042427,0,0.0,25.0,0.00314626475301
48,comp,Free,prime_left.png,target_both.png,,d,l,-5.0,2,116,False,0.3182834004,0,0.0,56.0,0.00310109390011
49,comp,Cued,prime_right.png,target_right.png,,l,l,-5.0,2,147,True,0.280457787452,0,0.0,50.0,0.00309075819587
50,comp,Cued,prime_left.png,target_left.png,,d,l,-5.0,2,140,False,0.124807832472,0,0.0,27.0,0.00328062890094
51,incomp,Free,prime_left.png,target_both.png,,d,l,5.0,2,135,False,0.209090136523,0,0.0,30.0,0.00318377952954
52,comp,Cued,prime_right.png,target_right.png,,l,d,-5.0,2,115,False,0.190039520669,0,0.0,32.0,0.00316808457228
53,comp,Cued,,target_right.png,,space,space,5.0,2,116,True,0.160201492628,0,0.0,64.0,0.00329862068156
54,comp,Cued,prime_left.png,target_left.png,,d,l,-5.0,2,112,False,0.152606281656,0,0.0,35.0,0.00309764866597
55,incomp,Free,prime_left.png,target_both.png,,d,l,-5.0,2,117,False,0.15522465992,0,0.0,70.0,0.00312367932656
56,comp,Free,prime_right.png,target_both.png,,l,l,-5.0,2,146,True,0.277194384726,0,0.0,39.0,0.00321823187551
