,cond,choiceType,prime,target,effect,corrResp,resp,pos,block,fixTime,ifcorr,RT,soa_rating,rating_RT,delay1,delay2,ITI,saveTime
1,incomp,Cued,prime_left.png,target_right.png,red,l,l,5.0,3,105,True,0.43119904881,5,0.64,38.0,123.0,27.0,0.00363012880598
2,comp,Cued,prime_right.png,target_right.png,green,l,l,-5.0,3,107,True,0.396566402684,6,0.931,58.0,125.0,46.0,0.00332771377316
3,incomp,Cued,prime_left.png,target_right.png,red,l,l,5.0,3,110,True,0.383825159704,5,0.751,41.0,122.0,59.0,0.00365539385939
4,incomp,Cued,prime_right.png,target_left.png,blue,d,d,-5.0,3,109,True,0.289158535914,6,0.891,38.0,75.0,50.0,0.00341996949828
5,comp,Free,prime_left.png,target_both.png,yellow,dl,d,5.0,3,144,True,0.282248543812,5,0.931,44.0,109.0,35.0,0.00327297282365
6,incomp,Free,prime_left.png,target_both.png,red,dl,l,-5.0,3,108,True,0.36961662961,4,0.541,46.0,114.0,36.0,0.00333651826122
7,incomp,Cued,prime_left.png,target_right.png,red,l,l,5.0,3,111,True,0.375150824715,5,0.841,38.0,122.0,57.0,0.00333383863426
8,comp,Cued,prime_right.png,target_right.png,cross,l,d,-5.0,3,142,False,0.248102058566,1,2.382,42.0,92.0,30.0,0.00331584685409
9,incomp,Free,prime_left.png,target_both.png,red,dl,l,5.0,3,126,True,0.327006351479,5,1.181,42.0,111.0,50.0,0.00338360313344
10,comp,Cued,prime_right.png,target_right.png,green,l,l,-5.0,3,140,True,0.26206903944,5,1.522,53.0,116.0,56.0,0.0034253287522
11,incomp,Cued,prime_right.png,target_left.png,blue,d,d,-5.0,3,101,True,0.326574931554,6,0.981,54.0,89.0,37.0,0.00332158891115
12,incomp,Free,prime_left.png,target_both.png,red,dl,l,-5.0,3,116,True,0.292216372982,5,0.861,40.0,87.0,28.0,0.00332962779203
13,comp,Cued,prime_right.png,target_right.png,green,l,l,-5.0,3,149,True,0.30337931573,6,1.061,42.0,76.0,30.0,0.00335642406117
14,incomp,Free,prime_left.png,target_both.png,red,dl,l,-5.0,3,102,True,0.31708254476,5,1.532,46.0,103.0,52.0,0.00335374443421
15,incomp,Cued,prime_right.png,target_left.png,blue,d,d,5.0,3,128,True,0.395663368428,5,1.151,54.0,82.0,34.0,0.0033671425681
16,comp,Cued,prime_left.png,target_left.png,yellow,d,d,-5.0,3,124,True,0.336547354367,6,1.512,52.0,124.0,46.0,0.00341231342145
17,comp,Cued,prime_left.png,target_left.png,yellow,d,d,-5.0,3,113,True,0.459404035671,5,1.151,52.0,114.0,69.0,0.0037124316309
18,incomp,Free,prime_right.png,target_both.png,blue,dl,d,-5.0,3,112,True,0.437914959362,5,1.402,43.0,75.0,29.0,0.00350035830434
19,incomp,Free,prime_left.png,target_both.png,red,dl,l,-5.0,3,116,True,0.299544769678,3,1.011,54.0,84.0,67.0,0.00353404504222
20,comp,Free,prime_right.png,target_both.png,green,dl,l,-5.0,3,147,True,0.246269193784,3,1.752,42.0,99.0,34.0,0.00361366824063
21,incomp,Free,prime_left.png,target_both.png,red,dl,l,5.0,3,110,True,0.303283614769,6,0.881,48.0,118.0,47.0,0.00341461024436
22,comp,Cued,prime_left.png,target_left.png,yellow,d,d,-5.0,3,142,True,0.270463927631,5,1.071,57.0,100.0,25.0,0.00394670758078
23,incomp,Cued,prime_left.png,target_right.png,red,l,l,5.0,3,106,True,0.507840971033,7,1.972,52.0,86.0,59.0,0.00350418634298
24,incomp,Cued,prime_right.png,target_left.png,cross,d,l,5.0,3,128,False,0.23094402489,1,1.371,40.0,92.0,55.0,0.00345174221684
25,incomp,Cued,prime_right.png,target_left.png,cross,d,l,-5.0,3,109,False,0.449366536206,2,1.151,52.0,90.0,23.0,0.00355012280352
26,comp,Free,prime_left.png,target_both.png,yellow,dl,d,-5.0,3,148,True,0.448537000288,5,0.811,42.0,85.0,41.0,0.00356352093786
27,comp,Free,prime_right.png,target_both.png,green,dl,l,5.0,3,121,True,0.405728046964,6,1.822,46.0,102.0,38.0,0.00358457514903
28,incomp,Free,prime_left.png,target_both.png,red,dl,l,-5.0,3,117,True,0.436557536948,5,0.831,51.0,123.0,53.0,0.00614285320535
29,comp,Free,prime_right.png,target_both.png,green,dl,l,-5.0,3,125,True,0.289628236224,6,1.031,38.0,85.0,37.0,0.00354016990377
30,comp,Free,prime_right.png,target_both.png,green,dl,l,-5.0,3,132,True,0.418856687433,6,0.901,44.0,96.0,73.0,0.00386746718596
31,comp,Cued,prime_right.png,target_right.png,green,l,l,5.0,3,130,True,0.410794455776,5,0.951,50.0,119.0,70.0,0.00359414524473
32,incomp,Cued,prime_left.png,target_right.png,cross,l,d,-5.0,3,130,False,0.321763852906,1,1.041,47.0,123.0,64.0,0.00362017590624
33,comp,Cued,prime_left.png,target_left.png,yellow,d,d,5.0,3,126,True,0.360699596986,3,0.861,50.0,83.0,56.0,0.00360677777144
34,incomp,Cued,prime_left.png,target_right.png,red,l,l,-5.0,3,130,True,0.383921626275,6,0.981,55.0,99.0,29.0,0.00393560626935
35,incomp,Free,prime_left.png,target_both.png,red,dl,l,-5.0,3,124,True,0.44297715733,6,0.982,56.0,108.0,69.0,0.00414921081165
36,comp,Free,prime_left.png,target_both.png,yellow,dl,d,5.0,3,134,True,0.481919026271,3,1.111,39.0,107.0,39.0,0.00403819769826
37,incomp,Free,prime_left.png,target_both.png,red,dl,l,5.0,3,116,True,0.427096157262,6,1.012,45.0,78.0,25.0,0.00410748519289
38,comp,Cued,prime_left.png,target_left.png,yellow,d,d,5.0,3,101,True,0.500504918262,5,0.941,48.0,87.0,61.0,0.00412126613128
39,comp,Free,prime_right.png,target_both.png,green,dl,l,-5.0,3,113,True,0.283573045101,6,3.153,46.0,94.0,64.0,0.00470044833992
40,incomp,Cued,prime_right.png,target_left.png,blue,d,d,5.0,3,100,True,0.341733963582,5,1.662,52.0,89.0,41.0,0.0063396143787
41,comp,Free,prime_right.png,target_both.png,green,dl,l,-5.0,3,148,True,0.40049550129,4,0.711,43.0,106.0,72.0,0.00452627259301
42,comp,Free,prime_right.png,target_both.png,green,dl,l,-5.0,3,109,True,0.343727223171,6,0.951,48.0,109.0,69.0,0.0040841341588
43,comp,Free,prime_left.png,target_both.png,yellow,dl,d,-5.0,3,142,True,0.366627697233,5,1.332,43.0,79.0,40.0,0.00424835700596
44,comp,Cued,prime_left.png,target_left.png,yellow,d,d,5.0,3,130,True,0.309760655728,5,0.942,51.0,81.0,52.0,0.00409446986259
45,incomp,Cued,prime_right.png,target_left.png,blue,d,d,5.0,3,150,True,0.424916089396,6,0.942,58.0,82.0,37.0,0.00416107773026
46,comp,Cued,prime_right.png,target_right.png,green,l,l,5.0,3,129,True,0.285325521072,5,0.861,46.0,97.0,28.0,0.00430616038557
47,incomp,Free,prime_right.png,target_both.png,blue,dl,d,5.0,3,149,True,0.394669609665,5,0.932,58.0,109.0,57.0,0.00450253875533
48,incomp,Free,prime_right.png,target_both.png,blue,dl,d,5.0,3,122,True,0.431719662032,3,0.902,38.0,97.0,31.0,0.00451249165508
49,incomp,Free,prime_left.png,target_both.png,red,dl,l,-5.0,3,141,True,0.313049323508,5,1.122,57.0,86.0,26.0,0.004468852017
50,incomp,Free,prime_left.png,target_both.png,red,dl,l,5.0,3,107,True,0.570423656663,3,1.012,39.0,116.0,62.0,0.00493625550462
51,incomp,Cued,prime_left.png,target_right.png,red,l,l,5.0,3,135,True,0.319246917661,5,0.881,42.0,125.0,55.0,0.00452014773145
52,incomp,Cued,prime_right.png,target_left.png,blue,d,d,5.0,3,112,True,0.348605292493,4,1.522,39.0,116.0,41.0,0.00423687289094
53,comp,Cued,prime_right.png,target_right.png,green,l,l,5.0,3,103,True,0.331509273041,6,0.931,56.0,106.0,49.0,0.00419208484163
54,comp,Cued,prime_left.png,target_left.png,yellow,d,d,5.0,3,141,True,0.304420542172,5,0.781,51.0,86.0,59.0,0.00425754429807
55,incomp,Free,prime_right.png,target_both.png,blue,dl,d,5.0,3,106,True,0.501840520858,3,0.921,42.0,85.0,66.0,0.00423151363702
56,incomp,Free,prime_left.png,target_both.png,red,dl,l,-5.0,3,133,True,0.439095909205,4,0.491,47.0,112.0,54.0,0.00423419326398
57,comp,Cued,prime_left.png,target_left.png,yellow,d,d,-5.0,3,131,True,0.336216994656,5,0.911,43.0,97.0,53.0,0.0042395525179
58,comp,Cued,prime_left.png,target_left.png,yellow,d,d,5.0,3,116,True,0.439427417328,5,1.482,53.0,99.0,46.0,0.00426290355199
59,comp,Free,prime_right.png,target_both.png,green,dl,l,5.0,3,145,True,0.386239120715,3,1.201,42.0,113.0,40.0,0.00431917571586
60,comp,Free,prime_right.png,target_both.png,green,dl,l,-5.0,3,117,True,0.367248605064,5,1.712,53.0,87.0,65.0,0.00430080113165
61,incomp,Free,prime_left.png,target_both.png,red,dl,l,5.0,3,110,True,0.272432687772,5,0.811,52.0,108.0,73.0,0.00432032412755
62,incomp,Free,prime_right.png,target_both.png,blue,dl,d,-5.0,3,138,True,0.419382277098,3,0.821,48.0,110.0,41.0,0.00419744409555
63,comp,Cued,prime_left.png,target_left.png,yellow,d,d,-5.0,3,120,True,0.336828332383,5,0.791,42.0,118.0,72.0,0.00388354494726
64,comp,Free,prime_left.png,target_both.png,yellow,dl,d,5.0,3,143,True,0.259942564113,5,1.081,54.0,95.0,33.0,0.00386363914777
65,comp,Cued,prime_left.png,target_left.png,yellow,d,d,-5.0,3,101,True,0.315474768631,5,0.711,52.0,109.0,56.0,0.00402862760257
66,incomp,Cued,prime_right.png,target_left.png,blue,d,d,-5.0,3,131,True,0.336399209282,5,0.921,52.0,87.0,30.0,0.0040454709715
67,incomp,Free,prime_right.png,target_both.png,blue,dl,d,-5.0,3,127,True,0.952018601205,3,0.791,51.0,107.0,52.0,0.00408834500104
68,comp,Free,prime_left.png,target_both.png,yellow,dl,d,-5.0,3,149,True,0.350536155056,6,1.101,45.0,85.0,32.0,0.00394019991563
69,comp,Free,prime_left.png,target_both.png,yellow,dl,d,5.0,3,148,True,0.633886025516,3,0.911,47.0,83.0,71.0,0.00392182533096
70,comp,Cued,prime_right.png,target_right.png,green,l,l,5.0,3,128,True,0.30861033019,6,0.861,57.0,125.0,48.0,0.00400144852983
71,incomp,Cued,prime_right.png,target_left.png,blue,d,d,5.0,3,144,True,0.33742014712,5,1.772,51.0,87.0,37.0,0.00393177823116
72,comp,Free,prime_right.png,target_both.png,green,dl,l,5.0,3,141,True,0.270394257328,5,0.821,53.0,122.0,39.0,0.00398192553394
73,comp,Cued,prime_left.png,target_left.png,yellow,d,d,-5.0,3,121,True,0.46346443599,5,0.871,46.0,101.0,25.0,0.0039715898306
74,comp,Free,prime_right.png,target_both.png,green,dl,l,5.0,3,125,True,0.396746320486,5,0.831,48.0,120.0,45.0,0.00408719658981
75,comp,Free,prime_right.png,target_both.png,green,dl,l,5.0,3,128,True,0.399990583028,5,1.692,53.0,78.0,42.0,0.00398039431866
76,incomp,Cued,prime_left.png,target_right.png,red,l,l,-5.0,3,115,True,0.326156144154,5,0.821,53.0,125.0,61.0,0.00395512926525
77,comp,Free,prime_left.png,target_both.png,yellow,dl,d,-5.0,3,147,True,0.375291313721,3,0.961,43.0,93.0,53.0,0.00400106572579
78,incomp,Cued,prime_right.png,target_left.png,blue,d,d,5.0,3,138,True,0.42456620669,5,1.202,45.0,109.0,43.0,0.00397350384947
79,incomp,Free,prime_right.png,target_both.png,blue,dl,d,5.0,3,100,True,0.443335844528,4,0.771,41.0,90.0,48.0,0.00396891020318
80,incomp,Cued,prime_right.png,target_left.png,blue,d,d,5.0,3,100,True,0.412958828681,3,0.971,49.0,104.0,39.0,0.00407877490534
81,comp,Cued,prime_right.png,target_right.png,green,l,l,5.0,3,118,True,0.414162746754,5,1.782,44.0,121.0,66.0,0.00403207283716
82,incomp,Cued,prime_left.png,target_right.png,cross,l,d,-5.0,3,115,False,0.276476244726,1,1.241,41.0,110.0,65.0,0.00409485266664
83,comp,Cued,prime_left.png,target_left.png,yellow,d,d,5.0,3,146,True,0.369337182809,6,1.442,39.0,108.0,58.0,0.00405772069416
84,incomp,Cued,prime_left.png,target_right.png,red,l,l,5.0,3,132,True,0.424069710112,7,1.161,45.0,122.0,45.0,0.00402173713337
85,incomp,Cued,prime_left.png,target_right.png,red,l,l,5.0,3,112,True,0.333290459304,7,0.901,53.0,83.0,71.0,0.00406116592876
86,incomp,Free,prime_right.png,target_both.png,blue,dl,d,5.0,3,139,True,0.348825404701,4,0.551,57.0,116.0,53.0,0.00405465826361
87,incomp,Cued,prime_right.png,target_left.png,blue,d,d,-5.0,3,128,True,0.367850755501,3,0.991,55.0,118.0,42.0,0.00407035322087
88,incomp,Cued,prime_right.png,target_left.png,blue,d,d,-5.0,3,122,True,0.328702172486,5,0.771,51.0,99.0,34.0,0.00443478247553
