,cond,choiceType,prime,target,effect,corrResp,resp,pos,block,fixTime,ifcorr,RT,soa_rating,rating_RT,delay1,delay2,ITI,saveTime
1,incomp,Free,prime_left.png,target_both.png,cross,dl,NoResp,5.0,1,137,False,,1,4.252,43.0,77.0,46.0,0.00353404504222
2,comp,Cued,prime_right.png,target_right.png,yellow,l,l,-5.0,1,114,True,0.664441427951,3,3.763,56.0,101.0,63.0,0.00361711347534
3,incomp,Free,prime_left.png,target_both.png,blue,dl,l,5.0,1,129,True,0.937870936919,3,3.113,49.0,77.0,68.0,0.00367644807039
4,comp,Cued,prime_left.png,target_left.png,green,d,d,-5.0,1,130,True,0.737549687939,5,3.523,38.0,116.0,73.0,0.00323124720552
5,comp,Cued,prime_right.png,target_right.png,yellow,l,l,5.0,1,143,True,0.786615187208,3,1.121,50.0,82.0,24.0,0.00364352694021
6,comp,Free,prime_right.png,target_both.png,yellow,dl,l,5.0,1,110,True,0.795823150751,3,1.712,47.0,82.0,71.0,0.00371664247348
7,incomp,Free,prime_left.png,target_both.png,blue,dl,l,5.0,1,143,True,0.410050285111,3,1.281,49.0,86.0,40.0,0.00324655935913
8,incomp,Free,prime_left.png,target_both.png,blue,dl,l,-5.0,1,124,True,0.651251538871,2,2.612,52.0,106.0,29.0,0.00329747226971
9,incomp,Cued,prime_left.png,target_right.png,blue,l,l,-5.0,1,115,True,0.451341421212,5,1.371,53.0,108.0,50.0,0.00326991039333
10,incomp,Cued,prime_left.png,target_right.png,blue,l,l,-5.0,1,102,True,0.390366894513,5,1.672,43.0,118.0,51.0,
11,comp,Free,prime_right.png,target_both.png,,dl,right,-5.0,1,104,False,0.0,0,0.0,,,,
12,comp,Free,prime_right.png,target_both.png,,dl,right,5.0,1,129,False,0.0,0,0.0,,,,
13,incomp,Cued,prime_left.png,target_right.png,,l,right,5.0,1,145,False,0.0,0,0.0,,,,
14,incomp,Cued,prime_right.png,target_left.png,,d,left,5.0,1,145,False,0.0,0,0.0,,,,
