,cond,choiceType,prime,target,effect,corrResp,resp,pos,block,fixTime,ifcorr,RT,soa_rating,rating_RT,ITI,saveTime
1,comp,Cued,prime_left.png,target_left.png,,d,d,-5.0,2,116,True,0.217522606567,0,0.0,65.0,0.00308579355897
2,comp,Cued,prime_left.png,target_left.png,,d,space,5.0,2,147,False,0.327651864606,0,0.0,70.0,0.00305248949735
3,comp,Cued,prime_right.png,target_right.png,,l,l,-5.0,2,103,True,0.278138678112,0,0.0,31.0,0.00292846057982
4,comp,Free,prime_left.png,target_both.png,,d,d,5.0,2,138,True,0.204513351101,0,0.0,30.0,0.00299774833911
5,comp,Cued,prime_right.png,target_right.png,,l,space,5.0,2,126,False,0.212927411692,0,0.0,50.0,0.00296482708291
6,incomp,Cued,prime_right.png,target_left.png,,l,l,5.0,2,135,True,0.248969296717,0,0.0,41.0,0.00288252394239
7,comp,Cued,,target_right.png,,space,space,-5.0,2,106,True,0.217333500746,0,0.0,59.0,0.00288060991625
8,incomp,Free,,target_both.png,,space,space,-5.0,2,129,True,0.135525710353,0,0.0,69.0,0.00308196550577
9,incomp,Free,prime_right.png,target_both.png,,l,space,-5.0,2,132,False,0.355754367617,0,0.0,72.0,0.00289209407492
10,incomp,Free,prime_left.png,target_both.png,,d,l,-5.0,2,114,False,0.385894926069,0,0.0,24.0,0.00299353748142
11,comp,Cued,prime_left.png,target_left.png,,d,space,-5.0,2,109,False,0.38053373778,0,0.0,56.0,0.00291889044638
12,incomp,Free,prime_right.png,target_both.png,,l,space,-5.0,2,109,False,0.0389312994639,0,0.0,67.0,0.00290472664983
13,incomp,Free,prime_right.png,target_both.png,,l,d,-5.0,2,109,False,0.175549153349,0,0.0,71.0,0.00326954010598
14,incomp,Free,,target_both.png,,space,space,-5.0,2,138,True,0.155490155395,0,0.0,39.0,0.00308502794906
15,incomp,Cued,,target_left.png,,space,space,-5.0,2,148,True,0.231699035407,0,0.0,70.0,0.00307239537415
16,incomp,Cued,,target_right.png,cross,space,NoResp,-5.0,2,103,False,,0,0.0,50.0,0.00303258362237
17,incomp,Cued,prime_right.png,target_left.png,,l,space,5.0,2,115,False,0.219951506224,0,0.0,40.0,0.00295563975578
18,comp,Free,prime_left.png,target_both.png,,d,space,5.0,2,142,False,0.26824086416,0,0.0,53.0,0.0030624424362
19,comp,Free,prime_right.png,target_both.png,,l,l,5.0,2,126,True,0.232466942848,0,0.0,31.0,0.00292501533204
20,incomp,Cued,,target_left.png,,space,space,-5.0,2,115,True,0.238832995061,0,0.0,42.0,0.00297363160462
21,incomp,Cued,prime_left.png,target_right.png,,d,d,5.0,2,143,True,0.101157450119,0,0.0,31.0,0.0030260759313
22,comp,Cued,prime_right.png,target_right.png,,l,space,-5.0,2,116,False,0.0676715561112,0,0.0,35.0,0.00296138183512
23,comp,Free,prime_right.png,target_both.png,,l,space,-5.0,2,109,False,0.0962575422218,0,0.0,24.0,0.00304598180719
24,incomp,Free,prime_left.png,target_both.png,,d,space,-5.0,2,140,False,0.270901743831,0,0.0,34.0,0.00327107132671
25,comp,Free,prime_right.png,target_both.png,,l,l,5.0,2,139,True,0.375146135924,0,0.0,24.0,0.00329250842333
26,incomp,Free,prime_right.png,target_both.png,,l,space,5.0,2,139,False,0.143461264314,0,0.0,37.0,0.00307852025799
27,comp,Cued,,target_left.png,,space,space,5.0,2,113,True,0.303865491403,0,0.0,65.0,0.00311067590337
28,incomp,Free,,target_both.png,,space,space,5.0,2,119,True,0.484218468519,0,0.0,42.0,0.00304177094949
29,incomp,Cued,prime_left.png,target_right.png,,d,d,-5.0,2,112,True,0.13634032004,0,0.0,55.0,0.00303947411794
30,comp,Cued,,target_left.png,,space,space,-5.0,2,136,True,0.448690691017,0,0.0,32.0,0.0030341148431
31,incomp,Free,prime_right.png,target_both.png,,l,space,-5.0,2,117,False,0.378701248787,0,0.0,43.0,0.0030869419752
32,comp,Cued,prime_right.png,target_right.png,,l,l,-5.0,2,132,True,0.536792566228,0,0.0,44.0,0.00303334923228
33,comp,Free,prime_right.png,target_both.png,,l,d,-5.0,2,106,False,0.259263696965,0,0.0,37.0,0.00300770127797
34,comp,Cued,prime_left.png,target_left.png,,d,space,5.0,2,150,False,0.161273577936,0,0.0,41.0,0.00305976279833
35,comp,Free,prime_right.png,target_both.png,,l,l,-5.0,2,112,True,0.000480803462779,0,0.0,48.0,0.00313708947033
36,incomp,Cued,prime_right.png,target_left.png,,l,space,5.0,2,127,False,0.142100008652,0,0.0,60.0,0.00335528849337
37,incomp,Cued,prime_right.png,target_left.png,,l,l,-5.0,2,145,True,0.208419496427,0,0.0,56.0,0.00340313915694
38,comp,Free,,target_both.png,,space,space,5.0,2,105,True,0.460848204681,0,0.0,32.0,0.00312943336394
39,incomp,Free,prime_right.png,target_both.png,,l,space,-5.0,2,115,False,0.251235121314,0,0.0,48.0,0.00305516913431
40,comp,Free,prime_left.png,target_both.png,,d,space,-5.0,2,117,False,0.463612441785,0,0.0,25.0,0.00309842613478
41,comp,Free,prime_right.png,target_both.png,,l,l,-5.0,2,107,True,0.219925475463,0,0.0,56.0,0.00306091121456
42,incomp,Free,prime_left.png,target_both.png,,d,space,5.0,2,135,False,0.234176934143,0,0.0,60.0,0.00318838538169
43,incomp,Free,prime_right.png,target_both.png,,l,space,5.0,2,122,False,0.3365639549,0,0.0,49.0,0.00314512838213
44,comp,Cued,prime_right.png,target_right.png,,l,l,-5.0,2,147,True,-0.0083302262301,0,0.0,26.0,0.00336677265204
45,incomp,Cued,,target_left.png,,space,space,5.0,2,146,True,0.155067538341,0,0.0,55.0,0.00315584692999
46,incomp,Free,prime_left.png,target_both.png,,d,d,5.0,2,150,True,0.121115770277,0,0.0,30.0,0.00338361608556
47,incomp,Cued,prime_left.png,target_right.png,,d,space,5.0,2,119,False,0.183225165315,0,0.0,38.0,0.003083113922
48,comp,Cued,prime_left.png,target_left.png,,d,l,-5.0,2,130,False,0.0356621421633,0,0.0,24.0,0.00316541706252
49,comp,Cued,prime_left.png,target_left.png,,d,space,-5.0,2,137,False,0.0523738905349,0,0.0,40.0,0.00310148857625
50,comp,Cued,prime_right.png,target_right.png,,l,l,5.0,2,120,True,0.202801062974,0,0.0,49.0,0.00317651841578
51,comp,Free,prime_left.png,target_both.png,,d,space,5.0,2,149,False,0.223219515108,0,0.0,44.0,0.0032132677261
52,comp,Cued,prime_right.png,target_right.png,,l,space,5.0,2,114,False,0.231429923278,0,0.0,62.0,0.00337442875843
53,incomp,Free,prime_right.png,target_both.png,,l,l,-5.0,2,118,True,0.225749858171,0,0.0,30.0,0.00335758532583
54,incomp,Free,,target_both.png,,space,space,-5.0,2,110,True,0.286148879108,0,0.0,35.0,0.00315508131916
55,incomp,Free,prime_right.png,target_both.png,,l,space,5.0,2,104,False,0.304599711978,0,0.0,35.0,0.00310837907182
56,incomp,Cued,prime_left.png,target_right.png,,d,d,5.0,2,112,True,0.247185806804,0,0.0,62.0,0.00321824419461
