,cond,choiceType,prime,target,effect,corrResp,resp,pos,block,fixTime,ifcorr,RT,soa_rating,rating_RT,delay1,delay2,ITI,saveTime
1,incomp,Free,prime_left.png,target_both.png,blue,dl,l,-5.0,2,127,True,0.705338296532,1,3.162,39.0,103.0,50.0,0.00353061332294
2,incomp,Free,prime_left.png,target_both.png,blue,dl,l,-5.0,2,139,True,1.07884564295,5,1.181,55.0,82.0,70.0,0.00337863961727
3,comp,Free,prime_left.png,target_both.png,yellow,dl,d,5.0,2,141,True,0.549030469005,1,1.311,38.0,103.0,39.0,0.00322704871655
4,comp,Free,prime_left.png,target_both.png,yellow,dl,d,-5.0,2,115,True,0.726224919553,6,1.121,38.0,102.0,36.0,0.00361559610064
5,comp,Cued,prime_right.png,target_right.png,green,l,l,5.0,2,147,True,0.649027636246,5,4.213,49.0,96.0,63.0,0.0033013129455
6,comp,Free,prime_right.png,target_both.png,green,dl,l,5.0,2,134,True,0.714205215799,2,2.262,48.0,106.0,52.0,0.00334035908668
7,incomp,Cued,prime_right.png,target_left.png,red,d,d,5.0,2,101,True,0.442268366424,4,2.532,49.0,84.0,59.0,0.00327604779568
8,comp,Free,prime_right.png,target_both.png,green,dl,l,5.0,2,124,True,0.544612512987,2,3.333,54.0,106.0,62.0,0.00339433463455
9,incomp,Free,prime_right.png,target_both.png,red,dl,d,-5.0,2,110,True,0.386311035435,3,11.027,44.0,101.0,30.0,0.0034383572447
10,comp,Free,prime_right.png,target_both.png,green,dl,l,5.0,2,123,True,0.473692853867,5,1.211,42.0,99.0,31.0,0.00339318621877
11,incomp,Free,prime_left.png,target_both.png,blue,dl,l,5.0,2,144,True,0.554730057183,3,2.162,41.0,117.0,66.0,0.00341156087325
12,incomp,Cued,prime_right.png,target_left.png,red,d,d,5.0,2,126,True,0.593020923372,5,4.264,50.0,108.0,56.0,0.00349462962436
13,comp,Cued,prime_right.png,target_right.png,green,l,l,-5.0,2,128,True,0.353937573642,2,1.872,42.0,108.0,44.0,0.00337060070592
14,incomp,Cued,prime_right.png,target_left.png,red,d,d,-5.0,2,145,True,0.384755314677,2,2.542,41.0,93.0,31.0,0.00347051289009
15,incomp,Free,prime_left.png,target_both.png,blue,dl,l,5.0,2,114,True,0.379151810631,2,10.037,38.0,85.0,24.0,0.00337749120126
16,comp,Free,prime_right.png,target_both.png,green,dl,l,-5.0,2,142,True,0.517029859579,5,2.482,38.0,89.0,46.0,0.00342151381119
17,incomp,Cued,prime_left.png,target_right.png,blue,l,l,-5.0,2,116,True,0.845281580098,2,1.662,47.0,78.0,56.0,0.00343491199669
18,comp,Free,prime_left.png,target_both.png,yellow,dl,d,-5.0,2,112,True,0.504050080121,5,1.121,45.0,86.0,60.0,0.00364966577263
19,incomp,Cued,prime_right.png,target_left.png,red,d,d,5.0,2,136,True,0.470849376066,2,3.012,45.0,78.0,73.0,0.00348161424404
20,comp,Cued,prime_right.png,target_right.png,green,l,l,5.0,2,119,True,0.336926088718,2,4.784,42.0,76.0,47.0,0.00353291015495
21,comp,Free,prime_right.png,target_both.png,green,dl,l,-5.0,2,126,True,0.308051084602,5,0.971,44.0,102.0,44.0,0.00348199704922
22,comp,Cued,prime_left.png,target_left.png,yellow,d,d,5.0,2,108,True,0.385460442048,2,1.602,54.0,84.0,37.0,0.00348352827064
23,incomp,Free,prime_left.png,target_both.png,blue,dl,l,-5.0,2,115,True,0.706464126932,5,1.612,41.0,111.0,24.0,0.00344256810286
24,comp,Free,prime_right.png,target_both.png,green,dl,l,5.0,2,123,True,0.511215047005,5,1.051,53.0,117.0,55.0,0.00343146674936
25,comp,Cued,prime_right.png,target_right.png,green,l,l,5.0,2,126,True,0.426131208815,2,1.061,38.0,118.0,33.0,0.00355932372076
26,comp,Cued,prime_right.png,target_right.png,green,l,l,-5.0,2,141,True,0.479183430349,2,1.081,57.0,79.0,38.0,0.00352334002218
27,comp,Free,prime_left.png,target_both.png,yellow,dl,d,5.0,2,111,True,0.680235838692,5,1.481,47.0,121.0,38.0,0.00349041876621
28,incomp,Cued,prime_right.png,target_left.png,red,d,d,-5.0,2,136,True,0.548910650945,2,0.831,40.0,123.0,57.0,0.00376182772675
29,comp,Cued,prime_right.png,target_right.png,green,l,l,-5.0,2,119,True,0.494005651738,2,0.851,51.0,83.0,71.0,0.00348927034997
30,comp,Free,prime_right.png,target_both.png,green,dl,l,-5.0,2,120,True,0.440932375912,5,3.203,42.0,103.0,29.0,0.00352257441159
31,comp,Free,prime_left.png,target_both.png,yellow,dl,d,5.0,2,133,True,0.476225493761,5,1.432,41.0,83.0,49.0,0.00359301058779
32,incomp,Cued,prime_right.png,target_left.png,red,d,d,5.0,2,148,True,0.399038929003,2,5.964,49.0,89.0,59.0,0.00363550197631
33,incomp,Cued,prime_left.png,target_right.png,blue,l,l,-5.0,2,114,True,0.337794291148,5,1.972,49.0,111.0,49.0,0.00361483048982
34,incomp,Free,prime_left.png,target_both.png,blue,dl,l,5.0,2,111,True,0.734068600242,5,0.921,42.0,97.0,69.0,0.00358267484444
35,comp,Cued,prime_left.png,target_left.png,yellow,d,d,5.0,2,134,True,0.329058291295,2,0.981,40.0,117.0,42.0,0.00352831649116
36,comp,Free,prime_right.png,target_both.png,green,dl,l,5.0,2,128,True,0.416253683544,5,2.062,52.0,109.0,66.0,0.00388509103504
