,cond,choiceType,prime,target,effect,corrResp,resp,pos,block,fixTime,ifcorr,RT,soa_rating,rating_RT,delay1,delay2,ITI,saveTime
1,comp,Free,prime_left.png,target_both.png,cross,dl,NoResp,5.0,1,134,False,,1,5.023,52.0,109.0,68.0,0.00351644952673
2,comp,Free,prime_right.png,target_both.png,blue,dl,l,-5.0,1,104,True,1.41249951192,4,2.392,46.0,83.0,29.0,0.00327911023797
3,comp,Cued,prime_right.png,target_right.png,blue,l,l,5.0,1,114,True,1.30839139852,4,7.615,46.0,95.0,58.0,0.00323317360144
4,incomp,Cued,prime_right.png,target_left.png,green,d,d,5.0,1,102,True,1.09730298351,1,7.235,54.0,96.0,63.0,0.00324159531817
5,comp,Cued,prime_right.png,target_right.png,blue,l,l,5.0,1,129,True,0.986460941992,4,0.981,53.0,119.0,34.0,0.00325882155687
6,incomp,Cued,prime_right.png,target_left.png,green,d,d,5.0,1,102,True,0.931131411702,1,2.552,56.0,91.0,73.0,0.00327375096367
7,incomp,Free,prime_left.png,target_both.png,yellow,dl,l,5.0,1,138,True,1.1189238271,1,3.993,38.0,122.0,30.0,0.00341653734228
8,comp,Free,prime_left.png,target_both.png,cross,dl,NoResp,-5.0,1,148,False,,1,4.253,42.0,88.0,51.0,0.00330590660928
9,comp,Free,prime_right.png,target_both.png,blue,dl,l,-5.0,1,117,True,1.12065870074,1,5.894,49.0,121.0,36.0,0.00336715545802
10,comp,Free,prime_right.png,target_both.png,blue,dl,l,5.0,1,103,True,0.826753803362,1,3.072,55.0,119.0,52.0,
11,incomp,Free,prime_left.png,target_both.png,,dl,right,5.0,1,131,False,0.0,0,0.0,,,,
12,comp,Free,prime_right.png,target_both.png,,dl,right,-5.0,1,100,False,0.0,0,0.0,,,,
13,incomp,Free,prime_right.png,target_both.png,,dl,left,5.0,1,133,False,0.0,0,0.0,,,,
14,incomp,Free,prime_left.png,target_both.png,,dl,right,5.0,1,112,False,0.0,0,0.0,,,,
15,comp,Free,prime_right.png,target_both.png,,dl,right,-5.0,1,144,False,0.0,0,0.0,,,,
16,comp,Free,prime_right.png,target_both.png,,dl,right,-5.0,1,128,False,0.0,0,0.0,,,,
17,incomp,Cued,prime_left.png,target_right.png,,l,right,-5.0,1,149,False,0.0,0,0.0,,,,
18,comp,Cued,prime_right.png,target_right.png,,l,right,-5.0,1,126,False,0.0,0,0.0,,,,
19,comp,Free,prime_left.png,target_both.png,,dl,left,-5.0,1,135,False,0.0,0,0.0,,,,
20,incomp,Cued,prime_left.png,target_right.png,,l,right,-5.0,1,104,False,0.0,0,0.0,,,,
21,incomp,Free,prime_left.png,target_both.png,,dl,right,-5.0,1,147,False,0.0,0,0.0,,,,
22,incomp,Cued,prime_right.png,target_left.png,,d,left,-5.0,1,127,False,0.0,0,0.0,,,,
23,incomp,Free,prime_left.png,target_both.png,,dl,right,-5.0,1,118,False,0.0,0,0.0,,,,
24,incomp,Free,prime_right.png,target_both.png,,dl,left,-5.0,1,119,False,0.0,0,0.0,,,,
25,incomp,Free,prime_right.png,target_both.png,,dl,left,-5.0,1,102,False,0.0,0,0.0,,,,
26,comp,Cued,prime_left.png,target_left.png,,d,left,-5.0,1,108,False,0.0,0,0.0,,,,
27,comp,Cued,prime_left.png,target_left.png,,d,left,-5.0,1,110,False,0.0,0,0.0,,,,
28,comp,Free,prime_right.png,target_both.png,,dl,right,-5.0,1,111,False,0.0,0,0.0,,,,
29,incomp,Free,prime_left.png,target_both.png,,dl,right,-5.0,1,118,False,0.0,0,0.0,,,,
30,incomp,Cued,prime_right.png,target_left.png,,d,left,5.0,1,111,False,0.0,0,0.0,,,,
31,incomp,Cued,prime_left.png,target_right.png,,l,right,5.0,1,100,False,0.0,0,0.0,,,,
32,incomp,Cued,prime_left.png,target_right.png,,l,right,5.0,1,122,False,0.0,0,0.0,,,,
33,comp,Free,prime_left.png,target_both.png,,dl,left,5.0,1,104,False,0.0,0,0.0,,,,
34,incomp,Cued,prime_left.png,target_right.png,,l,right,-5.0,1,107,False,0.0,0,0.0,,,,
35,comp,Cued,prime_left.png,target_left.png,,d,left,5.0,1,127,False,0.0,0,0.0,,,,
36,comp,Free,prime_left.png,target_both.png,,dl,left,-5.0,1,123,False,0.0,0,0.0,,,,
37,incomp,Cued,prime_right.png,target_left.png,,d,left,5.0,1,111,False,0.0,0,0.0,,,,
38,comp,Cued,prime_right.png,target_right.png,,l,right,5.0,1,148,False,0.0,0,0.0,,,,
39,incomp,Cued,prime_left.png,target_right.png,,l,right,5.0,1,142,False,0.0,0,0.0,,,,
40,comp,Cued,prime_right.png,target_right.png,,l,right,-5.0,1,104,False,0.0,0,0.0,,,,
41,comp,Cued,prime_right.png,target_right.png,,l,right,-5.0,1,142,False,0.0,0,0.0,,,,
42,comp,Free,prime_right.png,target_both.png,,dl,right,5.0,1,136,False,0.0,0,0.0,,,,
43,incomp,Cued,prime_right.png,target_left.png,,d,left,5.0,1,149,False,0.0,0,0.0,,,,
44,comp,Cued,prime_left.png,target_left.png,,d,left,5.0,1,101,False,0.0,0,0.0,,,,
45,comp,Cued,prime_right.png,target_right.png,,l,right,5.0,1,144,False,0.0,0,0.0,,,,
46,incomp,Free,prime_left.png,target_both.png,,dl,right,5.0,1,123,False,0.0,0,0.0,,,,
47,comp,Free,prime_left.png,target_both.png,,dl,left,5.0,1,118,False,0.0,0,0.0,,,,
48,comp,Free,prime_right.png,target_both.png,,dl,right,5.0,1,119,False,0.0,0,0.0,,,,
49,incomp,Cued,prime_right.png,target_left.png,,d,left,-5.0,1,108,False,0.0,0,0.0,,,,
50,comp,Free,prime_left.png,target_both.png,,dl,left,5.0,1,135,False,0.0,0,0.0,,,,
51,comp,Cued,prime_left.png,target_left.png,,d,left,-5.0,1,129,False,0.0,0,0.0,,,,
52,comp,Cued,prime_left.png,target_left.png,,d,left,5.0,1,142,False,0.0,0,0.0,,,,
53,comp,Free,prime_left.png,target_both.png,,dl,left,5.0,1,131,False,0.0,0,0.0,,,,
54,incomp,Cued,prime_left.png,target_right.png,,l,right,-5.0,1,148,False,0.0,0,0.0,,,,
55,incomp,Free,prime_left.png,target_both.png,,dl,right,-5.0,1,115,False,0.0,0,0.0,,,,
56,incomp,Cued,prime_left.png,target_right.png,,l,right,5.0,1,142,False,0.0,0,0.0,,,,
57,comp,Free,prime_right.png,target_both.png,,dl,right,-5.0,1,116,False,0.0,0,0.0,,,,
58,incomp,Free,prime_right.png,target_both.png,,dl,left,-5.0,1,112,False,0.0,0,0.0,,,,
59,incomp,Cued,prime_right.png,target_left.png,,d,left,5.0,1,115,False,0.0,0,0.0,,,,
60,comp,Cued,prime_right.png,target_right.png,,l,right,5.0,1,100,False,0.0,0,0.0,,,,
61,incomp,Free,prime_left.png,target_both.png,,dl,right,5.0,1,110,False,0.0,0,0.0,,,,
